id,chosenProfile,chosenProfileLastChangedAt,dislikedProfiles,dislikedProfilesLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,introDone,introDoneLastChangedAt,likedProfiles,likedProfilesLastChangedAt,nextRecommendations,nextRecommendationsLastChangedAt,opponentIDs,opponentIDsLastChangedAt,ownProfileID,ownProfileIDLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,roundsPlayed,roundsPlayedLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01J0GCB6DV7EZM4ZN18CX0W7S2,164,2024-06-16T11:19:20.987475985Z,"[85,224,109,14,84,202,13,118,46,40,0,185,243,61,198,141,162,152,137,230,99,161,178,86,182,98,93,133,239,138,18,214,139,65,210,206,149,150,36,116,25,117,110,49,78,115,105,29,52,81]",2024-06-16T11:21:15.232650164Z,game ended,2024-06-16T11:21:33.680522854Z,true,2024-06-16T11:21:35.173190875Z,"{""feedback"":""""}",2024-06-16T11:21:35.172373534Z,01J0GCAMHAA9DF5J62DBYAEYSJ,2024-06-16T11:18:59.274697533Z,true,2024-06-16T11:19:02.534323704Z,"[209,195,132,220,35,135,17,140,60,166,104,215,8,127,64,37,91,112,107,113,120,39,3,80,237,114,103,179,28,122,75,4,10,102,181,63,69,11,48,95,101,83,100,55,6,53,34,9,111,21]",2024-06-16T11:21:15.232650164Z,"[21,81]",2024-06-16T11:21:10.317980905Z,"[209,85,195,224,132,109,220,14,35,84,135,202,17,13,140,118,60,46,166,40,104,0,215,185,8,243,127,61,64,198,37,141,91,162,112,152,107,137,113,230,120,99,39,161,3,178,80,86,237,182,114,98,103,93,179,133,28,239,122,138,75,18,4,214,10,139,102,65,181,210,63,206,69,149,11,150,48,36,95,116,101,25,83,117,100,110,55,49,6,78,53,115,34,105,9,29,111,52,21,81]",2024-06-16T11:21:11.957528149Z,1,2024-06-16T11:19:21.019432498Z,01J0GCB6C0TVTJCXRKN4F0X93X,2024-06-16T11:18:59.259682013Z,testserver1,2024-06-16T11:18:59.259682013Z,51,2024-06-16T11:21:15.251407037Z,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T11:18:59.274697533Z,Solo,2024-06-16T11:18:59.274697533Z,{},2024-06-16T11:18:59.288133126Z
01J0GCG9HV1V39MMXD8AGD72GH,240,2024-06-16T11:22:11.169645415Z,"[17,173,157,118,208,21,189,139,230,147,146,170,176,144,65,94,97,78,6,35,120,99,5,125,39,86,23,61,109,42,64,57,58,26,104,102,27,25,115,48,75,36,37,51,119,116,79,82,69,83]",2024-06-16T11:24:11.307878315Z,game ended,2024-06-16T11:24:45.931199877Z,true,2024-06-16T11:24:47.427713341Z,"{""feedback"":""""}",2024-06-16T11:24:47.426898164Z,01J0GCAMH923Z3R2D5GF01J956,2024-06-16T11:21:46.31028571Z,true,2024-06-16T11:21:49.162229379Z,"[89,55,80,40,103,46,224,68,14,4,105,91,155,148,117,72,38,45,28,88,84,90,96,66,8,16,33,108,95,127,52,0,22,2,13,18,114,12,67,24,101,77,53,62,73,43,31,93,106,56]",2024-06-16T11:24:11.307878315Z,"[83,56]",2024-06-16T11:24:04.205099443Z,"[89,17,55,173,80,157,40,118,103,208,46,21,224,189,68,139,14,230,4,147,105,146,91,170,155,176,148,144,117,65,72,94,38,97,45,78,28,6,88,35,84,120,90,99,96,5,66,125,8,39,16,86,33,23,108,61,95,109,127,42,52,64,0,57,22,58,2,26,13,104,18,102,114,27,12,25,67,115,24,48,101,75,77,36,53,37,62,51,73,119,43,116,31,79,93,82,106,69,56,83]",2024-06-16T11:24:06.120234269Z,1,2024-06-16T11:22:11.20382933Z,01J0GCG9GEXZ0NG2Y2569PXYBZ,2024-06-16T11:21:46.299720506Z,rxtcyvuhb,2024-06-16T11:21:46.299720506Z,51,2024-06-16T11:24:11.328483864Z,"{""numSwipes"":50,""playerCount"":1}",2024-06-16T11:21:46.31028571Z,Solo,2024-06-16T11:21:46.31028571Z,{},2024-06-16T11:21:46.327869478Z
