id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01J0GCBBCFX51VEK0CQ6SQ5YPN,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:19:04.335684612Z,01J0GCAMHAA9DF5J62DBYAEYSJ,2024-06-16T11:19:04.335684612Z,01J0GCB6DV7EZM4ZN18CX0W7S2,2024-06-16T11:19:04.335684612Z,01J0GCB9NTCXCKMKM2S5GNR7YM,2024-06-16T11:19:04.335684612Z,01J0GCB9PS2BKKW3AHYY6FAYAF,2024-06-16T11:19:04.335684612Z,true,2024-06-16T11:19:05.421691572Z
01J0GCCR0F3D5F3WA4GZ3KCKB2,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:19:50.03159793Z,01J0GCAMHAA9DF5J62DBYAEYSJ,2024-06-16T11:19:50.03159793Z,01J0GCB6DV7EZM4ZN18CX0W7S2,2024-06-16T11:19:50.03159793Z,01J0GCB9NVYAFJVZWS3E4PZYNT,2024-06-16T11:19:50.03159793Z,01J0GCB9XP940WR2CSSVDQEEH6,2024-06-16T11:19:50.03159793Z,true,2024-06-16T11:19:51.680062242Z
01J0GCJ20KS2F28W0GQ9RD77T4,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:22:44.115659498Z,01J0GCAMH923Z3R2D5GF01J956,2024-06-16T11:22:44.115659498Z,01J0GCG9HV1V39MMXD8AGD72GH,2024-06-16T11:22:44.115659498Z,01J0GCGCCKGDQGDQ899CDCQVV5,2024-06-16T11:22:44.115659498Z,01J0GCGCK5DVSYHZHT1M74MP77,2024-06-16T11:22:44.115659498Z,true,2024-06-16T11:22:45.620146026Z
01J0GCCM6PWH697ZMWNMCET0MZ,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:19:46.134284438Z,01J0GCAMHAA9DF5J62DBYAEYSJ,2024-06-16T11:19:46.134284438Z,01J0GCB6DV7EZM4ZN18CX0W7S2,2024-06-16T11:19:46.134284438Z,01J0GCB9NVYAFJVZWS3E4PZYNT,2024-06-16T11:19:46.134284438Z,01J0GCB9XND25WSN05RT3147M8,2024-06-16T11:19:46.134284438Z,true,2024-06-16T11:19:47.96149066Z
01J0GCMQ7AHEEKCSQWE79TC3GK,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:24:11.370858308Z,01J0GCAMH923Z3R2D5GF01J956,2024-06-16T11:24:11.370858308Z,01J0GCG9HV1V39MMXD8AGD72GH,2024-06-16T11:24:11.370858308Z,01J0GCGCD0T85NTARGZVPQME6G,2024-06-16T11:24:11.370858308Z,01J0GCGCPENPCCAXJ766HXMYKC,2024-06-16T11:24:11.370858308Z,true,2024-06-16T11:24:26.023795901Z
01J0GCJK50K7THEMPWC90M6B0S,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:23:01.664265982Z,01J0GCAMH923Z3R2D5GF01J956,2024-06-16T11:23:01.664265982Z,01J0GCG9HV1V39MMXD8AGD72GH,2024-06-16T11:23:01.664265982Z,01J0GCGCCKGDQGDQ899CDCQVV5,2024-06-16T11:23:01.664265982Z,01J0GCGCK7J8GQDSR517AQG4QM,2024-06-16T11:23:01.664265982Z,true,2024-06-16T11:23:03.353812746Z
01J0GCKJF5WTRTET0K3E7F1W8T,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:23:33.733447382Z,01J0GCAMH923Z3R2D5GF01J956,2024-06-16T11:23:33.733447382Z,01J0GCG9HV1V39MMXD8AGD72GH,2024-06-16T11:23:33.733447382Z,01J0GCGCCKGDQGDQ899CDCQVV5,2024-06-16T11:23:33.733447382Z,01J0GCGCKAS28NARVHN9KDP8ED,2024-06-16T11:23:33.733447382Z,true,2024-06-16T11:23:35.417462413Z
01J0GCC9CTYW2KR76YSA52KEBC,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:19:35.066091192Z,01J0GCAMHAA9DF5J62DBYAEYSJ,2024-06-16T11:19:35.066091192Z,01J0GCB6DV7EZM4ZN18CX0W7S2,2024-06-16T11:19:35.066091192Z,01J0GCB9NVYAFJVZWS3E4PZYNT,2024-06-16T11:19:35.066091192Z,01J0GCB9XMDNFKQZJTM4DR42RT,2024-06-16T11:19:35.066091192Z,true,2024-06-16T11:19:36.655651588Z
01J0GCER317CDXJWYD0G5NNABV,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:20:55.649578334Z,01J0GCAMHAA9DF5J62DBYAEYSJ,2024-06-16T11:20:55.649578334Z,01J0GCB6DV7EZM4ZN18CX0W7S2,2024-06-16T11:20:55.649578334Z,01J0GCB9NVYAFJVZWS3E4PZYNT,2024-06-16T11:20:55.649578334Z,01J0GCB9Y4ZS72Q27NWSV4DB3D,2024-06-16T11:20:55.649578334Z,true,2024-06-16T11:20:57.24294323Z
01J0GCH56H8PRX9ESQTRKM7QG9,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:22:14.609414631Z,01J0GCAMH923Z3R2D5GF01J956,2024-06-16T11:22:14.609414631Z,01J0GCG9HV1V39MMXD8AGD72GH,2024-06-16T11:22:14.609414631Z,01J0GCGCCKGDQGDQ899CDCQVV5,2024-06-16T11:22:14.609414631Z,01J0GCGCK24HRF4K4SW74GQBFG,2024-06-16T11:22:14.609414631Z,true,2024-06-16T11:22:16.658708587Z
01J0GCMCHZ39HJT1SW92GCPNP0,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:24:00.447374528Z,01J0GCAMH923Z3R2D5GF01J956,2024-06-16T11:24:00.447374528Z,01J0GCG9HV1V39MMXD8AGD72GH,2024-06-16T11:24:00.447374528Z,01J0GCGCCKGDQGDQ899CDCQVV5,2024-06-16T11:24:00.447374528Z,01J0GCGCKEWFWGQ1NXZBX5X3B9,2024-06-16T11:24:00.447374528Z,true,2024-06-16T11:24:02.157065877Z
