id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01J0GCGCCGY7BDCPXR7260XXNM,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:21:49.200657825Z,true,2024-06-16T11:22:11.175163435Z,01J0GCAMH923Z3R2D5GF01J956,2024-06-16T11:21:49.200657825Z,0,2024-06-16T11:21:49.200657825Z,preRounds,2024-06-16T11:21:49.200657825Z,3,2024-06-16T11:21:49.238816241Z,true,2024-06-16T11:21:49.604156357Z
01J0GCGCCKGDQGDQ899CDCQVV5,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:21:49.203445835Z,true,2024-06-16T11:24:11.320051471Z,01J0GCAMH923Z3R2D5GF01J956,2024-06-16T11:21:49.203445835Z,1,2024-06-16T11:21:49.203445835Z,swipeRound,2024-06-16T11:21:49.203445835Z,50,2024-06-16T11:21:49.492404783Z,true,2024-06-16T11:22:11.185675847Z
01J0GCGCD0T85NTARGZVPQME6G,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:21:49.216892569Z,true,2024-06-16T11:24:45.89672438Z,01J0GCAMH923Z3R2D5GF01J956,2024-06-16T11:21:49.216892569Z,2,2024-06-16T11:21:49.216892569Z,afterRounds,2024-06-16T11:21:49.216892569Z,2,2024-06-16T11:21:49.526187467Z,true,2024-06-16T11:24:11.333650357Z
01J0GCB9NTCXCKMKM2S5GNR7YM,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:19:02.58604585Z,true,2024-06-16T11:19:20.994797382Z,01J0GCAMHAA9DF5J62DBYAEYSJ,2024-06-16T11:19:02.58604585Z,0,2024-06-16T11:19:02.58604585Z,preRounds,2024-06-16T11:19:02.58604585Z,3,2024-06-16T11:19:02.623771965Z,true,2024-06-16T11:19:03.007113368Z
01J0GCB9NVYAFJVZWS3E4PZYNT,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:19:02.587859958Z,true,2024-06-16T11:21:15.242736948Z,01J0GCAMHAA9DF5J62DBYAEYSJ,2024-06-16T11:19:02.587859958Z,1,2024-06-16T11:19:02.587859958Z,swipeRound,2024-06-16T11:19:02.587859958Z,50,2024-06-16T11:19:02.904989596Z,true,2024-06-16T11:19:21.004013682Z
01J0GCB9NX6NZ6QNGCTHTDP850,01J0GCAMGH3GEWSNDT77C14KHD,2024-06-16T11:19:02.589832641Z,true,2024-06-16T11:21:33.628072298Z,01J0GCAMHAA9DF5J62DBYAEYSJ,2024-06-16T11:19:02.589832641Z,2,2024-06-16T11:19:02.589832641Z,afterRounds,2024-06-16T11:19:02.589832641Z,2,2024-06-16T11:19:02.930728855Z,true,2024-06-16T11:21:15.257913176Z
