id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01HZSFXJNEHHCQRCW66DAQPNSN,01HZSFX98P79BHJFX9NNV6H575,2024-06-07T14:58:55.406876+01:00,3000,2024-06-07T14:58:55.406876+01:00,false,2024-06-07T14:58:55.406876+01:00,,,01HZSFX9981ZDSPX9T9XWA51S5,2024-06-07T14:58:55.406876+01:00,1,2024-06-07T14:58:55.406876+01:00,,,endSurveyDatingAppUsage,2024-06-07T14:58:55.406876+01:00,01HZSFXJ5M32W4H7NW1ZY6AJBQ,2024-06-07T14:58:55.406876+01:00,false,2024-06-07T14:58:55.406876+01:00,,,,,01HZSFXJNBP4X4125TRSFJ7951,2024-06-07T14:58:55.406876+01:00
01HZSCT5B9HV0E2E0PANY7ZPXX,01HZSCSZ1N9Y1SSTM9A1T1218D,2024-06-07T14:04:37.737819+01:00,3000,2024-06-07T14:04:37.737819+01:00,false,2024-06-07T14:04:37.737819+01:00,,,01HZSCSZ22KKHX4E09XHK620VB,2024-06-07T14:04:37.737819+01:00,0,2024-06-07T14:04:37.737819+01:00,,,swipeProfile,2024-06-07T14:04:37.737819+01:00,01HZSCT53X3TQ74KVEMQ20VBK4,2024-06-07T14:04:37.737819+01:00,false,2024-06-07T14:04:37.737819+01:00,,,,,01HZSCT5B8ZJ0WK8N7N741W77Y,2024-06-07T14:04:37.737819+01:00
01HZYFBEA1V9ZEGSBFGHD2FW27,01HZYFAS2XKE18VZ2A5KY7B189,2024-06-09T13:25:13.281272+01:00,3000,2024-06-09T13:25:13.281272+01:00,false,2024-06-09T13:25:13.281272+01:00,,,01HZYFAS3B49W56082E8FY3SX3,2024-06-09T13:25:13.281272+01:00,0,2024-06-09T13:25:13.281272+01:00,,,swipeProfile,2024-06-09T13:25:13.281272+01:00,01HZYFBE2K95WHV3CYH725SMK3,2024-06-09T13:25:13.281272+01:00,false,2024-06-09T13:25:13.281272+01:00,,,,,01HZYFBE9ZM2NNDNJ0B6PVTA1F,2024-06-09T13:25:13.281272+01:00
01HZYSXY6DJVA16P5YE87NJQ8S,01HZYSXPSZ5A7F9H696B6J3PE0,2024-06-09T16:30:05.133778+01:00,3000,2024-06-09T16:30:05.133778+01:00,true,2024-06-09T16:30:39.612894+01:00,,,01HZYSXPTR5VQZ8NCNJ1VASSZY,2024-06-09T16:30:05.133778+01:00,0,2024-06-09T16:30:05.133778+01:00,true,2024-06-09T16:30:38.111643+01:00,swipeProfile,2024-06-09T16:30:05.133778+01:00,01HZYSXXZ46C1N17W0BHSE23H0,2024-06-09T16:30:05.133778+01:00,true,2024-06-09T16:30:38.097325+01:00,true,2024-06-09T16:30:38.127871+01:00,,,01HZYSXY6BN1G3WHFZ4HBK881S,2024-06-09T16:30:05.133778+01:00
01HZSH65PRCJ4JAV5QWPVA5DVJ,01HZSH5TN747MRNQBYWKCAMNQH,2024-06-07T15:21:05.624521+01:00,3000,2024-06-07T15:21:05.624521+01:00,true,2024-06-07T15:24:19.759051+01:00,,,01HZSH5TPHX4XFJHM59FC8JH7H,2024-06-07T15:21:05.624521+01:00,0,2024-06-07T15:21:05.624521+01:00,true,2024-06-07T15:24:18.332162+01:00,swipeProfile,2024-06-07T15:21:05.624521+01:00,01HZSH65BFGFXJPZNNVR915N2F,2024-06-07T15:21:05.624521+01:00,true,2024-06-07T15:24:18.314725+01:00,true,2024-06-07T15:24:18.347374+01:00,,,01HZSH65PPQ8JN66MN9VJTXN17,2024-06-07T15:21:05.624521+01:00
01HZSM3D6D8ERKVWWQY1CYZCP9,01HZSM33EY2XCHP3KBV9QTK0YY,2024-06-07T16:12:00.717805+01:00,3000,2024-06-07T16:12:00.717805+01:00,true,2024-06-07T16:22:12.936454+01:00,,,01HZSM33G3XR867PD9RPHE0PZR,2024-06-07T16:12:00.717805+01:00,0,2024-06-07T16:12:00.717805+01:00,true,2024-06-07T16:22:11.435212+01:00,swipeProfile,2024-06-07T16:12:00.717805+01:00,01HZSM3CBXG1SNX8AZ9E6J4AP9,2024-06-07T16:12:00.717805+01:00,true,2024-06-07T16:22:11.407971+01:00,true,2024-06-07T16:22:11.462379+01:00,,,01HZSM3D6B505Y6DWTX2QSDAYZ,2024-06-07T16:12:00.717805+01:00
01HZH1NMDQAWCXQ3FWE02XPSQJ,01HZH1KRR0J1XS5AZ53TMM3VEA,2024-06-04T08:15:59.543521+01:00,3000,2024-06-04T08:15:59.543521+01:00,true,2024-06-04T08:29:28.416277+01:00,,,01HZH1KRRJREHB0RVRS5TRPKQN,2024-06-04T08:15:59.543521+01:00,0,2024-06-04T08:15:59.543521+01:00,true,2024-06-04T08:29:25.867637+01:00,swipeProfile,2024-06-04T08:15:59.543521+01:00,01HZH1NMADCQ011TZET1DHZARM,2024-06-04T08:15:59.543521+01:00,true,2024-06-04T08:29:25.860987+01:00,true,2024-06-04T08:29:25.873979+01:00,,,01HZH1NMDNKJDAETW83TZJ5SSA,2024-06-04T08:15:59.543521+01:00
01HZSFMJG0FN54T12GEX6MAM4B,01HZSFMAQQQHRT6XBHJV48DSKG,2024-06-07T14:54:00.320918+01:00,3000,2024-06-07T14:54:00.320918+01:00,true,2024-06-07T14:55:02.285925+01:00,,,01HZSFMAR8H3RXQCYKK5562K1S,2024-06-07T14:54:00.320918+01:00,0,2024-06-07T14:54:00.320918+01:00,true,2024-06-07T14:55:00.695275+01:00,swipeProfile,2024-06-07T14:54:00.320918+01:00,01HZSFMJA5V7N8QBFZAXKSD60G,2024-06-07T14:54:00.320918+01:00,true,2024-06-07T14:55:00.685427+01:00,true,2024-06-07T14:55:00.704063+01:00,,,01HZSFMJFZV4SXAZQ6SJDFXHAX,2024-06-07T14:54:00.320918+01:00
01HZSJTN5QQVQYPV72R3Y45BXR,01HZSJTAPJW1A09GW14C8HDH3G,2024-06-07T15:49:45.399997+01:00,3000,2024-06-07T15:49:45.399997+01:00,true,2024-06-07T16:02:31.019596+01:00,,,01HZSJTAQSG36J436YAM13M893,2024-06-07T15:49:45.399997+01:00,0,2024-06-07T15:49:45.399997+01:00,true,2024-06-07T16:02:29.309008+01:00,swipeProfile,2024-06-07T15:49:45.399997+01:00,01HZSJTMEDKV8W2SE52CCF7B5D,2024-06-07T15:49:45.399997+01:00,true,2024-06-07T16:02:29.288846+01:00,true,2024-06-07T16:02:29.329827+01:00,,,01HZSJTN5P8Y57BK53CE9G0JKQ,2024-06-07T15:49:45.399997+01:00
01HZYFBEA8FDPBYQX4605F1RTH,01HZYFAS2XKE18VZ2A5KY7B189,2024-06-09T13:25:13.288343+01:00,3000,2024-06-09T13:25:13.288343+01:00,false,2024-06-09T13:25:13.288343+01:00,,,01HZYFAS3B49W56082E8FY3SX3,2024-06-09T13:25:13.288343+01:00,0,2024-06-09T13:25:13.288343+01:00,,,swipeProfile,2024-06-09T13:25:13.288343+01:00,01HZYFBE2N26SDCKH86KK1DXCN,2024-06-09T13:25:13.288343+01:00,false,2024-06-09T13:25:13.288343+01:00,,,,,01HZYFBEA68HTPY2PNAN9PYJ0Z,2024-06-09T13:25:13.288343+01:00
