id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01HZSB9PFS8VTXW9VCKDRKY176,01HZSB9EFW02P0NZ930JR32NEN,2024-06-07T13:38:09.657915+01:00,3000,2024-06-07T13:38:09.657915+01:00,false,2024-06-07T13:38:09.657915+01:00,01HZSB9EGFEXV1AQ974G5TP5A6,2024-06-07T13:38:09.657915+01:00,12,2024-06-07T13:38:09.657915+01:00,Round 12,2024-06-07T13:38:09.657915+01:00,1,2024-06-07T13:38:09.772564+01:00,false,2024-06-07T13:38:09.657915+01:00
01HZSDZZD2S3YHY01TMP9ET55K,01HZSDZN03KYPJJR9JJVJ13D2Q,2024-06-07T14:25:16.834389+01:00,3000,2024-06-07T14:25:16.834389+01:00,true,2024-06-07T14:31:51.534342+01:00,01HZSDZN0GYX9RKNV9Z23N1GZV,2024-06-07T14:25:16.834389+01:00,2,2024-06-07T14:25:16.834389+01:00,Round 2,2024-06-07T14:25:16.834389+01:00,1,2024-06-07T14:25:16.920882+01:00,true,2024-06-07T14:25:51.598782+01:00
01HZSJTMBJ1NSMDWAE8KQH3C1R,01HZSJTAPJW1A09GW14C8HDH3G,2024-06-07T15:49:44.562981+01:00,3000,2024-06-07T15:49:44.562981+01:00,true,2024-06-07T15:52:08.658965+01:00,01HZSJTAQSG36J436YAM13M893,2024-06-07T15:49:44.562981+01:00,14,2024-06-07T15:49:44.562981+01:00,Round 14,2024-06-07T15:49:44.562981+01:00,1,2024-06-07T15:49:45.039193+01:00,true,2024-06-07T15:52:06.716259+01:00
01HZYSXXZ17EWWKXJZ8QZ2M4GF,01HZYSXPSZ5A7F9H696B6J3PE0,2024-06-09T16:30:04.897787+01:00,3000,2024-06-09T16:30:04.897787+01:00,true,2024-06-09T16:30:38.052452+01:00,01HZYSXPTR5VQZ8NCNJ1VASSZY,2024-06-09T16:30:04.897787+01:00,5,2024-06-09T16:30:04.897787+01:00,Round 5,2024-06-09T16:30:04.897787+01:00,1,2024-06-09T16:30:05.124544+01:00,true,2024-06-09T16:30:31.576628+01:00
01HZYT64EKQ726W390P0QQJCBC,01HZYT5W3A314BVC54WW1DC6N1,2024-06-09T16:34:33.683249+01:00,3000,2024-06-09T16:34:33.683249+01:00,true,2024-06-09T16:36:02.506015+01:00,01HZYT5W423K84NZ2FPVZZ9AQ5,2024-06-09T16:34:33.683249+01:00,28,2024-06-09T16:34:33.683249+01:00,Round 28,2024-06-09T16:34:33.683249+01:00,1,2024-06-09T16:34:34.197155+01:00,true,2024-06-09T16:36:00.882947+01:00
01HZFFZ8DR44DKWCC2B5TFKX0A,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.136811+01:00,3000,2024-06-03T17:47:26.136811+01:00,true,2024-06-03T17:52:24.928601+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.136811+01:00,48,2024-06-03T17:47:26.136811+01:00,Round 48,2024-06-03T17:47:26.136811+01:00,1,2024-06-03T17:47:26.421927+01:00,true,2024-06-03T17:52:22.469022+01:00
01HZHDJE2K7MYYMC9C7YEKDDWT,01HZHDH5HC2Y07710VWBHB3GPD,2024-06-04T11:43:57.651828+01:00,3000,2024-06-04T11:43:57.651828+01:00,true,2024-06-04T11:47:30.294567+01:00,01HZHDH5HQ5NPNCVSGWRZ5TM5T,2024-06-04T11:43:57.651828+01:00,8,2024-06-04T11:43:57.651828+01:00,Round 8,2024-06-04T11:43:57.651828+01:00,1,2024-06-04T11:43:57.821963+01:00,true,2024-06-04T11:47:28.212271+01:00
01HZN350MQ4MB1HWMJ21J1Q5F5,01HZN32ABZ0GWY5J96DED1P3QC,2024-06-05T21:58:49.879047+01:00,3000,2024-06-05T21:58:49.879047+01:00,true,2024-06-05T22:02:38.719661+01:00,01HZN32ACHFC97P7HVXVAA0JRC,2024-06-05T21:58:49.879047+01:00,23,2024-06-05T21:58:49.879047+01:00,Round 23,2024-06-05T21:58:49.879047+01:00,1,2024-06-05T21:58:50.059853+01:00,true,2024-06-05T22:02:37.110454+01:00
01HZSCT53CM0RVZV1NN7D58JR8,01HZSCSZ1N9Y1SSTM9A1T1218D,2024-06-07T14:04:37.484442+01:00,3000,2024-06-07T14:04:37.484442+01:00,false,2024-06-07T14:04:37.484442+01:00,01HZSCSZ22KKHX4E09XHK620VB,2024-06-07T14:04:37.484442+01:00,19,2024-06-07T14:04:37.484442+01:00,Round 19,2024-06-07T14:04:37.484442+01:00,1,2024-06-07T14:04:37.646409+01:00,false,2024-06-07T14:04:37.484442+01:00
01HZSJ1Z3Y3VTRBY1W3AWTKY8Z,01HZSJ1KX9KV3BX2EY6VQEAB6J,2024-06-07T15:36:16.382429+01:00,3000,2024-06-07T15:36:16.382429+01:00,true,2024-06-07T15:37:25.600651+01:00,01HZSJ1KY2QFPSG8X4JF0RDPFR,2024-06-07T15:36:16.382429+01:00,11,2024-06-07T15:36:16.382429+01:00,Round 11,2024-06-07T15:36:16.382429+01:00,1,2024-06-07T15:36:16.774804+01:00,true,2024-06-07T15:37:24.016632+01:00
01HZFFZ8DNH6R00PMCE499C4H1,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.133362+01:00,3000,2024-06-03T17:47:26.133362+01:00,true,2024-06-03T17:52:06.246074+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.133362+01:00,41,2024-06-03T17:47:26.133362+01:00,Round 41,2024-06-03T17:47:26.133362+01:00,1,2024-06-03T17:47:26.386656+01:00,true,2024-06-03T17:52:03.803447+01:00
01HZHCPG8MRBWZD45CJ5RB177Y,01HZHCJP1MENGDSFT8ZG4AQFNY,2024-06-04T11:28:42.388882+01:00,,,true,2024-06-04T11:34:52.0483+01:00,01HZHCJP21JVY94168DC87KCRP,2024-06-04T11:28:42.388882+01:00,0,2024-06-04T11:28:42.388882+01:00,preRounds,2024-06-04T11:28:42.388882+01:00,3,2024-06-04T11:28:42.437668+01:00,true,2024-06-04T11:28:43.053528+01:00
01HZHDJE329KGW5QPD42112G5Z,01HZHDH5HC2Y07710VWBHB3GPD,2024-06-04T11:43:57.666424+01:00,3000,2024-06-04T11:43:57.666424+01:00,true,2024-06-04T11:50:37.584466+01:00,01HZHDH5HQ5NPNCVSGWRZ5TM5T,2024-06-04T11:43:57.666424+01:00,22,2024-06-04T11:43:57.666424+01:00,Round 22,2024-06-04T11:43:57.666424+01:00,1,2024-06-04T11:43:57.95943+01:00,true,2024-06-04T11:50:34.845977+01:00
01HZSB9PG1WF0QQ0RBFKPSFG7Z,01HZSB9EFW02P0NZ930JR32NEN,2024-06-07T13:38:09.665203+01:00,3000,2024-06-07T13:38:09.665203+01:00,false,2024-06-07T13:38:09.665203+01:00,01HZSB9EGFEXV1AQ974G5TP5A6,2024-06-07T13:38:09.665203+01:00,29,2024-06-07T13:38:09.665203+01:00,Round 29,2024-06-07T13:38:09.665203+01:00,1,2024-06-07T13:38:09.859258+01:00,false,2024-06-07T13:38:09.665203+01:00
01HZSJTMD75SPPXQTRNWCBACT1,01HZSJTAPJW1A09GW14C8HDH3G,2024-06-07T15:49:44.615063+01:00,3000,2024-06-07T15:49:44.615063+01:00,true,2024-06-07T15:56:03.82649+01:00,01HZSJTAQSG36J436YAM13M893,2024-06-07T15:49:44.615063+01:00,27,2024-06-07T15:49:44.615063+01:00,Round 27,2024-06-07T15:49:44.615063+01:00,1,2024-06-07T15:49:45.268454+01:00,true,2024-06-07T15:55:45.341292+01:00
01HZHD2T2C5518PMW0ZS9X1FVJ,01HZHCJTZ02E2HB1TF67XQZQEB,2024-06-04T11:35:25.644038+01:00,3000,2024-06-04T11:35:25.644038+01:00,false,2024-06-04T11:35:25.644038+01:00,01HZHCJTZAKYGS2K0FNHA9EKRR,2024-06-04T11:35:25.644038+01:00,23,2024-06-04T11:35:25.644038+01:00,Round 23,2024-06-04T11:35:25.644038+01:00,1,2024-06-04T11:35:25.795985+01:00,false,2024-06-04T11:35:25.644038+01:00
01HZN350MAHEF7X8WG8BT4CVF6,01HZN32ABZ0GWY5J96DED1P3QC,2024-06-05T21:58:49.866588+01:00,3000,2024-06-05T21:58:49.866588+01:00,true,2024-06-05T21:59:48.807805+01:00,01HZN32ACHFC97P7HVXVAA0JRC,2024-06-05T21:58:49.866588+01:00,3,2024-06-05T21:58:49.866588+01:00,Round 3,2024-06-05T21:58:49.866588+01:00,1,2024-06-05T21:58:49.934357+01:00,true,2024-06-05T21:59:40.35279+01:00
01HZSDZZENHNCFANZVEYGY22N4,01HZSDZN03KYPJJR9JJVJ13D2Q,2024-06-07T14:25:16.885374+01:00,3000,2024-06-07T14:25:16.885374+01:00,false,2024-06-07T14:25:16.885374+01:00,01HZSDZN0GYX9RKNV9Z23N1GZV,2024-06-07T14:25:16.885374+01:00,41,2024-06-07T14:25:16.885374+01:00,Round 41,2024-06-07T14:25:16.885374+01:00,1,2024-06-07T14:25:17.174407+01:00,false,2024-06-07T14:25:16.885374+01:00
01HZH1NMBD2Z5JT5QSR33RBD6A,01HZH1KRR0J1XS5AZ53TMM3VEA,2024-06-04T08:15:59.469321+01:00,3000,2024-06-04T08:15:59.469321+01:00,true,2024-06-04T08:31:59.907864+01:00,01HZH1KRRJREHB0RVRS5TRPKQN,2024-06-04T08:15:59.469321+01:00,38,2024-06-04T08:15:59.469321+01:00,Round 38,2024-06-04T08:15:59.469321+01:00,1,2024-06-04T08:15:59.687211+01:00,true,2024-06-04T08:31:57.351698+01:00
01HZMYB1E8MHMF0R4FGRSWKA0Q,01HZMYAPFS4WP2868YQ6KAPA92,2024-06-05T20:34:44.424988+01:00,3000,2024-06-05T20:34:44.424988+01:00,true,2024-06-05T20:51:18.854203+01:00,01HZMYAPG5N42EK8SQF2MNGAYT,2024-06-05T20:34:44.424988+01:00,10,2024-06-05T20:34:44.424988+01:00,Round 10,2024-06-05T20:34:44.424988+01:00,1,2024-06-05T20:34:44.531833+01:00,true,2024-06-05T20:51:07.044066+01:00
01HZSDZZESBHA165XCQXFKC1XD,01HZSDZN03KYPJJR9JJVJ13D2Q,2024-06-07T14:25:16.889414+01:00,3000,2024-06-07T14:25:16.889414+01:00,false,2024-06-07T14:25:16.889414+01:00,01HZSDZN0GYX9RKNV9Z23N1GZV,2024-06-07T14:25:16.889414+01:00,44,2024-06-07T14:25:16.889414+01:00,Round 44,2024-06-07T14:25:16.889414+01:00,1,2024-06-07T14:25:17.192676+01:00,false,2024-06-07T14:25:16.889414+01:00
01HZSGTG06W9QA1VWN9AJE0NH0,01HZSGT7QNTFC0VX4G50G6AAAC,2024-06-07T15:14:42.950618+01:00,3000,2024-06-07T15:14:42.950618+01:00,true,2024-06-07T15:16:03.190433+01:00,01HZSGT7RC0HKT1MN5HQC4EGMK,2024-06-07T15:14:42.950618+01:00,25,2024-06-07T15:14:42.950618+01:00,Round 25,2024-06-07T15:14:42.950618+01:00,1,2024-06-07T15:14:43.342611+01:00,true,2024-06-07T15:16:01.443619+01:00
01HZSM3C8NGTJGAZV3CSPZJ1A5,01HZSM33EY2XCHP3KBV9QTK0YY,2024-06-07T16:11:59.765672+01:00,3000,2024-06-07T16:11:59.765672+01:00,true,2024-06-07T16:14:30.414409+01:00,01HZSM33G3XR867PD9RPHE0PZR,2024-06-07T16:11:59.765672+01:00,22,2024-06-07T16:11:59.765672+01:00,Round 22,2024-06-07T16:11:59.765672+01:00,1,2024-06-07T16:12:00.357948+01:00,true,2024-06-07T16:14:03.151863+01:00
01HZSGA4MP4CR8NAR6GSWW81KK,01HZSG9T0TZBK9W6QR9KEN15FG,2024-06-07T15:05:47.030948+01:00,3000,2024-06-07T15:05:47.030948+01:00,true,2024-06-07T15:06:39.651643+01:00,01HZSG9T1GTJ9QS8TQXQF6VFJP,2024-06-07T15:05:47.030948+01:00,12,2024-06-07T15:05:47.030948+01:00,Round 12,2024-06-07T15:05:47.030948+01:00,1,2024-06-07T15:05:47.26595+01:00,true,2024-06-07T15:06:37.977354+01:00
