id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01HZMXB79EBED61J8Q9W2A60Y9,01HZMWBSTKCF4358NMQNRWJ72G,2024-06-05T20:17:21.83896+01:00,01HZMWBSV30XRF82ZM7CVVERGT,2024-06-05T20:17:21.83896+01:00,01HZMWJHXS3GMMP2122V26VT8Q,2024-06-05T20:17:21.83896+01:00,01HZMWMSCWJQQ0T9NESTVEQ7JV,2024-06-05T20:17:21.83896+01:00,01HZMWMSGXBMKMV8KKMD6PRJBN,2024-06-05T20:17:21.83896+01:00,true,2024-06-05T20:17:31.833588+01:00
01HZMXBVB5CRB1767SBRDS8ECM,01HZMWBSTKCF4358NMQNRWJ72G,2024-06-05T20:17:42.373661+01:00,01HZMWBSV30XRF82ZM7CVVERGT,2024-06-05T20:17:42.373661+01:00,01HZMWJHXS3GMMP2122V26VT8Q,2024-06-05T20:17:42.373661+01:00,01HZMWMSCYNC3MWR7KXX75287N,2024-06-05T20:17:42.373661+01:00,01HZMWMSH7KE78QK96KXE2S8GR,2024-06-05T20:17:42.373661+01:00,true,2024-06-05T20:17:57.001554+01:00
01HZMZ8YG72DH6BFZ4EKDP1XB1,01HZMYAPFS4WP2868YQ6KAPA92,2024-06-05T20:51:04.455093+01:00,01HZMYAPG5N42EK8SQF2MNGAYT,2024-06-05T20:51:04.455093+01:00,01HZMYAYC13PXTE0MQVPE5R8Y6,2024-06-05T20:51:04.455093+01:00,01HZMYB1ECTRZMSVGQZKK4MM9K,2024-06-05T20:51:04.455093+01:00,01HZMYB1HD4T2RQRF2MDX2G305,2024-06-05T20:51:04.455093+01:00,true,2024-06-05T20:51:07.022521+01:00
01HZYFMQ9W8C7A0DYJVC16E1AH,01HZYFDTT3D83F64EZV1WVJXF0,2024-06-09T13:30:17.404719+01:00,01HZYFDTTNMSZSFAQBZWDH130V,2024-06-09T13:30:17.404719+01:00,01HZYFDZGBQYQFVA1FGBD8S1F0,2024-06-09T13:30:17.404719+01:00,01HZYFEWM5CG99HJ1DQMGGRAFZ,2024-06-09T13:30:17.404719+01:00,01HZYFEWXCM587273KFDKBQ7V6,2024-06-09T13:30:17.404719+01:00,true,2024-06-09T13:30:19.269782+01:00
01HZSFQGP440SQGXRQ6N4Q2SYV,01HZSFMAQQQHRT6XBHJV48DSKG,2024-06-07T14:55:36.772221+01:00,01HZSFMAR8H3RXQCYKK5562K1S,2024-06-07T14:55:36.772221+01:00,01HZSFMFYRHEA212G79PEZMWHT,2024-06-07T14:55:36.772221+01:00,01HZSFMJAZK1EJR0B0S5M11DP9,2024-06-07T14:55:36.772221+01:00,01HZSFMJKF1ZPY8H6VRVE8V9R6,2024-06-07T14:55:36.772221+01:00,true,2024-06-07T14:55:42.117406+01:00
01HZMZAH050P2P8H5DEHPX0DRX,01HZMYAPFS4WP2868YQ6KAPA92,2024-06-05T20:51:56.165653+01:00,01HZMYAPG5N42EK8SQF2MNGAYT,2024-06-05T20:51:56.165653+01:00,01HZMYAYC13PXTE0MQVPE5R8Y6,2024-06-05T20:51:56.165653+01:00,01HZMYB1EM1Z5ANT70C0NSHBA5,2024-06-05T20:51:56.165653+01:00,01HZMYB1KWWP0T4C7CC3S7CR0Y,2024-06-05T20:51:56.165653+01:00,true,2024-06-05T20:51:58.904343+01:00
01HZSGCJJ1FHK3WHPWC1DVXZZR,01HZSG9T0TZBK9W6QR9KEN15FG,2024-06-07T15:07:06.817731+01:00,01HZSG9T1GTJ9QS8TQXQF6VFJP,2024-06-07T15:07:06.817731+01:00,01HZSGA1C6BZF5D7VHFM70V23H,2024-06-07T15:07:06.817731+01:00,01HZSGA4NR7VNA8FEBDFNSJGP4,2024-06-07T15:07:06.817731+01:00,01HZSGA51EXW0B9G0E3QG4E33G,2024-06-07T15:07:06.817731+01:00,true,2024-06-07T15:07:08.786215+01:00
01HZYSZ91W9J42WCPZ55SKPFE7,01HZYSXPSZ5A7F9H696B6J3PE0,2024-06-09T16:30:49.020431+01:00,01HZYSXPTR5VQZ8NCNJ1VASSZY,2024-06-09T16:30:49.020431+01:00,01HZYSXVEJH9TBV0G3VVJH10Y0,2024-06-09T16:30:49.020431+01:00,01HZYSXXZH2C234QQKZ1WSCD9E,2024-06-09T16:30:49.020431+01:00,01HZYSXY8M6D3ACENJNVM0W0GV,2024-06-09T16:30:49.020431+01:00,true,2024-06-09T16:30:50.473759+01:00
01HZSEYRJV23QV0Q7XKA76HT5H,01HZSEVNF9BB7BB6AT3R7V1RPB,2024-06-07T14:42:05.659687+01:00,01HZSEVNFPZ7DNF34SY5G0EKE6,2024-06-07T14:42:05.659687+01:00,01HZSEVW8T6D7WZ3KFC6A898PM,2024-06-07T14:42:05.659687+01:00,01HZSEVYPF4Y9JR2BJ2RTSS1TH,2024-06-07T14:42:05.659687+01:00,01HZSEVYXYJMMER7XW31754N7B,2024-06-07T14:42:05.659687+01:00,true,2024-06-07T14:42:11.693709+01:00
01HZH2ARDJ127HK2JFR450ENZS,01HZH1KRR0J1XS5AZ53TMM3VEA,2024-06-04T08:27:31.762915+01:00,01HZH1KRRJREHB0RVRS5TRPKQN,2024-06-04T08:27:31.762915+01:00,01HZH1NHEM4QGJ1HNF0H4YW4VD,2024-06-04T08:27:31.762915+01:00,01HZH1NMABQ7C56NJZ5M59ASXR,2024-06-04T08:27:31.762915+01:00,01HZH1NMD2NKC751VFC3SVGBG4,2024-06-04T08:27:31.762915+01:00,true,2024-06-04T08:27:34.531093+01:00
