id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01HZHD478P0E92TKV5GHVY79MW,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-04T11:36:11.926447+01:00,,,true,2024-06-04T11:36:11.939794+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-04T11:36:11.926447+01:00,terminated,2024-06-04T11:43:12.123973+01:00
01HZHDFAAYK8WT2T48BCP1EAR2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-04T11:42:15.51826+01:00,,,true,2024-06-04T11:42:15.528809+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-04T11:42:15.51826+01:00,terminated,2024-06-04T11:43:14.656752+01:00
01HZMWBSTKCF4358NMQNRWJ72G,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-05T20:00:12.243065+01:00,all games finished,2024-06-05T20:29:25.602462+01:00,true,2024-06-05T20:00:12.260768+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-05T20:00:12.243065+01:00,ended,2024-06-05T20:29:25.602462+01:00
01HZSCSZ1N9Y1SSTM9A1T1218D,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-07T14:04:31.286022+01:00,,,true,2024-06-07T14:04:31.299654+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-07T14:04:31.286022+01:00,terminated,2024-06-07T14:25:05.186503+01:00
01HZFFYAKQMXP174TK93N8AGY2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-03T17:46:55.607384+01:00,all games finished,2024-06-03T17:54:23.905929+01:00,true,2024-06-03T17:46:55.630359+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-03T17:46:55.607384+01:00,ended,2024-06-03T17:54:23.905929+01:00
01HZMYAPFS4WP2868YQ6KAPA92,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-05T20:34:33.209276+01:00,all games finished,2024-06-05T21:03:36.243813+01:00,true,2024-06-05T20:34:33.223265+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-05T20:34:33.209276+01:00,ended,2024-06-05T21:03:36.243813+01:00
01HZN0050VDBNNEXHRP0AQ08YS,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-05T21:03:44.795897+01:00,,,true,2024-06-05T21:03:44.810542+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-05T21:03:44.795897+01:00,terminated,2024-06-05T21:57:12.263051+01:00
01HZH1KRR0J1XS5AZ53TMM3VEA,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-04T08:14:58.432145+01:00,all games finished,2024-06-04T08:33:46.857038+01:00,true,2024-06-04T08:14:58.449481+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-04T08:14:58.432145+01:00,ended,2024-06-04T08:33:46.857038+01:00
01HZHCJTZ02E2HB1TF67XQZQEB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-04T11:26:42.272862+01:00,,,true,2024-06-04T11:26:42.282571+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-04T11:26:42.272862+01:00,terminated,2024-06-04T11:43:06.491106+01:00
01HZSJTAPJW1A09GW14C8HDH3G,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-07T15:49:34.681714+01:00,,,true,2024-06-07T15:49:34.70703+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-07T15:49:34.681714+01:00,terminated,2024-06-07T16:11:49.896158+01:00
01HZYFAS2XKE18VZ2A5KY7B189,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-09T13:24:51.549399+01:00,,,true,2024-06-09T13:24:51.565933+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-09T13:24:51.549399+01:00,terminated,2024-06-09T13:26:23.267042+01:00
01HZHCJP1MENGDSFT8ZG4AQFNY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-04T11:26:37.236951+01:00,,,true,2024-06-04T11:26:37.250169+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-04T11:26:37.236951+01:00,terminated,2024-06-04T11:43:03.880024+01:00
01HZSFMAQQQHRT6XBHJV48DSKG,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-07T14:53:52.375479+01:00,,,true,2024-06-07T14:53:52.389598+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-07T14:53:52.375479+01:00,terminated,2024-06-07T14:58:44.738054+01:00
01HZSH5TN747MRNQBYWKCAMNQH,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-07T15:20:54.311075+01:00,,,true,2024-06-07T15:20:54.348139+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-07T15:20:54.311075+01:00,terminated,2024-06-07T15:32:15.581647+01:00
01HZSM33EY2XCHP3KBV9QTK0YY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-07T16:11:50.750872+01:00,,,true,2024-06-07T16:11:50.779954+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-07T16:11:50.750872+01:00,terminated,2024-06-07T16:22:45.870159+01:00
01HZKWZ2N1HQM73CXRWXVV180Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-05T10:51:29.441667+01:00,all games finished,2024-06-05T11:10:21.522339+01:00,true,2024-06-05T10:51:29.450547+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-05T10:51:29.441667+01:00,ended,2024-06-05T11:10:21.522339+01:00
01HZN32ABZ0GWY5J96DED1P3QC,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-05T21:57:21.535728+01:00,,,true,2024-06-05T21:57:21.554105+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-05T21:57:21.535728+01:00,terminated,2024-06-05T22:03:20.929187+01:00
01HZSB9EFW02P0NZ930JR32NEN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-07T13:38:01.468826+01:00,,,true,2024-06-07T13:38:01.486328+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-07T13:38:01.468826+01:00,terminated,2024-06-07T14:04:23.386083+01:00
01HZSJ1KX9KV3BX2EY6VQEAB6J,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Solo"",""desc"":""Single-player Game"",""factors"":{""numSwipes"":50,""playerCount"":1}},""count"":1}]}}",2024-06-07T15:36:04.905251+01:00,,,true,2024-06-07T15:36:04.935878+01:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-07T15:36:04.905251+01:00,terminated,2024-06-07T15:49:33.557787+01:00
