id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01HZFFZ8MV37ADZ2XE4BRS4268,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.363518+01:00,3000,2024-06-03T17:47:26.363518+01:00,true,2024-06-03T17:51:51.206918+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.363518+01:00,0,2024-06-03T17:47:26.363518+01:00,true,2024-06-03T17:51:48.765559+01:00,swipeProfile,2024-06-03T17:47:26.363518+01:00,01HZFFZ8D8DVTC976VGDST4P9V,2024-06-03T17:47:26.363518+01:00,true,2024-06-03T17:51:48.758311+01:00,true,2024-06-03T17:51:48.771962+01:00,01HZFFZ8MT8Q7HC19TSGFB7V0F,2024-06-03T17:47:26.363518+01:00
01HZFFZ8NGBXJ2CR25DBM25BY6,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.384331+01:00,3000,2024-06-03T17:47:26.384331+01:00,true,2024-06-03T17:52:06.241585+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.384331+01:00,0,2024-06-03T17:47:26.384331+01:00,true,2024-06-03T17:52:03.818548+01:00,swipeProfile,2024-06-03T17:47:26.384331+01:00,01HZFFZ8DNH6R00PMCE499C4H1,2024-06-03T17:47:26.384331+01:00,true,2024-06-03T17:52:03.813818+01:00,true,2024-06-03T17:52:03.823738+01:00,01HZFFZ8NDS768JEM6D9GWJ3YY,2024-06-03T17:47:26.384331+01:00
01HZFFZ8EJECT3A4GK855Y3B84,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.162187+01:00,3000,2024-06-03T17:47:26.162187+01:00,true,2024-06-03T17:47:39.373536+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.162187+01:00,1,2024-06-03T17:47:26.162187+01:00,true,2024-06-03T17:47:29.158705+01:00,pickCharacterTraits,2024-06-03T17:47:26.162187+01:00,01HZFFZ8CSVW4ERDMR3W5H0G1D,2024-06-03T17:47:26.162187+01:00,true,2024-06-03T17:47:29.152331+01:00,true,2024-06-03T17:47:29.163427+01:00,01HZFFZ8ECC517HT3K8SBDV7DP,2024-06-03T17:47:26.162187+01:00
01HZFFZ8NW5MP7YGRPPPH164R9,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.396389+01:00,3000,2024-06-03T17:47:26.396389+01:00,true,2024-06-03T17:52:12.041485+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.396389+01:00,0,2024-06-03T17:47:26.396389+01:00,true,2024-06-03T17:52:09.069624+01:00,swipeProfile,2024-06-03T17:47:26.396389+01:00,01HZFFZ8DP2YD6EH4TD42FH7XD,2024-06-03T17:47:26.396389+01:00,true,2024-06-03T17:52:09.064994+01:00,true,2024-06-03T17:52:09.073185+01:00,01HZFFZ8NTWYHH9ECBMDBJ0CGB,2024-06-03T17:47:26.396389+01:00
01HZFFZ8KRP1XBZQZWY58N16Q0,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.328447+01:00,3000,2024-06-03T17:47:26.328447+01:00,true,2024-06-03T17:51:19.126996+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.328447+01:00,0,2024-06-03T17:47:26.328447+01:00,true,2024-06-03T17:51:12.099064+01:00,swipeProfile,2024-06-03T17:47:26.328447+01:00,01HZFFZ8D64VHEPDRVF9TGTN9W,2024-06-03T17:47:26.328447+01:00,true,2024-06-03T17:51:12.093961+01:00,true,2024-06-03T17:51:12.103175+01:00,01HZFFZ8KQSYY5E9WCG8TZYY3M,2024-06-03T17:47:26.328447+01:00
01HZFFZ8NQFC6SH03PK8FR5BD8,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.391651+01:00,3000,2024-06-03T17:47:26.391651+01:00,true,2024-06-03T17:52:09.0435+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.391651+01:00,0,2024-06-03T17:47:26.391651+01:00,true,2024-06-03T17:52:06.269886+01:00,swipeProfile,2024-06-03T17:47:26.391651+01:00,01HZFFZ8DQBAGJCBC8DR0R0Z1X,2024-06-03T17:47:26.391651+01:00,true,2024-06-03T17:52:06.263699+01:00,true,2024-06-03T17:52:06.273654+01:00,01HZFFZ8NPBS0011W409ZXC58T,2024-06-03T17:47:26.391651+01:00
01HZFFZ8P1E0G264VMM5FF8X7Q,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.4014+01:00,3000,2024-06-03T17:47:26.4014+01:00,true,2024-06-03T17:52:14.757144+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.4014+01:00,0,2024-06-03T17:47:26.4014+01:00,true,2024-06-03T17:52:12.063424+01:00,swipeProfile,2024-06-03T17:47:26.4014+01:00,01HZFFZ8DQBAGJCBC8EWKJXKRG,2024-06-03T17:47:26.4014+01:00,true,2024-06-03T17:52:12.058534+01:00,true,2024-06-03T17:52:12.067289+01:00,01HZFFZ8NZ5N26S7MYP2RR9SSY,2024-06-03T17:47:26.4014+01:00
01HZFFZ8GHHJQEHMFHVJ8CXDER,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.225492+01:00,3000,2024-06-03T17:47:26.225492+01:00,true,2024-06-03T17:49:55.492573+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.225492+01:00,0,2024-06-03T17:47:26.225492+01:00,true,2024-06-03T17:49:52.609192+01:00,swipeProfile,2024-06-03T17:47:26.225492+01:00,01HZFFZ8D1KN25625JY6NW7TKX,2024-06-03T17:47:26.225492+01:00,true,2024-06-03T17:49:52.60382+01:00,true,2024-06-03T17:49:52.61549+01:00,01HZFFZ8GFARN0C6MECVEWEKFS,2024-06-03T17:47:26.225492+01:00
01HZFFZ8J9JCDKP0ZVKJFH5QHP,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.281445+01:00,3000,2024-06-03T17:47:26.281445+01:00,true,2024-06-03T17:50:28.209005+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.281445+01:00,0,2024-06-03T17:47:26.281445+01:00,true,2024-06-03T17:50:25.388121+01:00,swipeProfile,2024-06-03T17:47:26.281445+01:00,01HZFFZ8D32HEAT431T0X18J0X,2024-06-03T17:47:26.281445+01:00,true,2024-06-03T17:50:25.382586+01:00,true,2024-06-03T17:50:25.39413+01:00,01HZFFZ8J73TWBFCPYZG165AMN,2024-06-03T17:47:26.281445+01:00
01HZFFZ8KEJG4W3B99ZEZ7RKMJ,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.318291+01:00,3000,2024-06-03T17:47:26.318291+01:00,true,2024-06-03T17:51:09.242098+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.318291+01:00,0,2024-06-03T17:47:26.318291+01:00,true,2024-06-03T17:51:06.390498+01:00,swipeProfile,2024-06-03T17:47:26.318291+01:00,01HZFFZ8D5R8WD8TXXVSWPG5Z6,2024-06-03T17:47:26.318291+01:00,true,2024-06-03T17:51:06.386112+01:00,true,2024-06-03T17:51:06.396691+01:00,01HZFFZ8KC1Y8E6GVHQX9BR3W7,2024-06-03T17:47:26.318291+01:00
