id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01HZFFZ8D0H0RH161MY6ZRJJ24,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.112558+01:00,3000,2024-06-03T17:47:26.112558+01:00,true,2024-06-03T17:49:25.802535+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.112558+01:00,5,2024-06-03T17:47:26.112558+01:00,Round 5,2024-06-03T17:47:26.112558+01:00,1,2024-06-03T17:47:26.193896+01:00,true,2024-06-03T17:48:38.023107+01:00
01HZFFZ8D8DVTC976VFBW4C2RJ,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.120492+01:00,3000,2024-06-03T17:47:26.120492+01:00,true,2024-06-03T17:51:48.745462+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.120492+01:00,36,2024-06-03T17:47:26.120492+01:00,Round 36,2024-06-03T17:47:26.120492+01:00,1,2024-06-03T17:47:26.360567+01:00,true,2024-06-03T17:51:46.216723+01:00
01HZFFZ8CSVW4ERDMR3W5H0G1D,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.105999+01:00,,,true,2024-06-03T17:48:24.967166+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.105999+01:00,0,2024-06-03T17:47:26.105999+01:00,preRounds,2024-06-03T17:47:26.105999+01:00,3,2024-06-03T17:47:26.166913+01:00,true,2024-06-03T17:47:26.798934+01:00
01HZFFZ8D1KN25625JXSMGET09,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.113355+01:00,3000,2024-06-03T17:47:26.113355+01:00,true,2024-06-03T17:49:50.034609+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.113355+01:00,10,2024-06-03T17:47:26.113355+01:00,Round 10,2024-06-03T17:47:26.113355+01:00,1,2024-06-03T17:47:26.217089+01:00,true,2024-06-03T17:49:40.652803+01:00
01HZFFZ8D1KN25625JZ0RE9J51,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.113844+01:00,3000,2024-06-03T17:47:26.113844+01:00,true,2024-06-03T17:49:58.097446+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.113844+01:00,13,2024-06-03T17:47:26.113844+01:00,Round 13,2024-06-03T17:47:26.113844+01:00,1,2024-06-03T17:47:26.233993+01:00,true,2024-06-03T17:49:55.50221+01:00
01HZFFZ8DP2YD6EH4TCNGBVRMS,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.134438+01:00,3000,2024-06-03T17:47:26.134438+01:00,true,2024-06-03T17:51:56.31234+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.134438+01:00,39,2024-06-03T17:47:26.134438+01:00,Round 39,2024-06-03T17:47:26.134438+01:00,1,2024-06-03T17:47:26.374025+01:00,true,2024-06-03T17:51:53.756221+01:00
01HZFFZ8D32HEAT431TFTR7P24,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.115588+01:00,3000,2024-06-03T17:47:26.115588+01:00,true,2024-06-03T17:50:30.712113+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.115588+01:00,22,2024-06-03T17:47:26.115588+01:00,Round 22,2024-06-03T17:47:26.115588+01:00,1,2024-06-03T17:47:26.28979+01:00,true,2024-06-03T17:50:28.218547+01:00
01HZFFZ8D64VHEPDRVF9TGTN9W,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.118271+01:00,3000,2024-06-03T17:47:26.118271+01:00,true,2024-06-03T17:51:19.133431+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.118271+01:00,30,2024-06-03T17:47:26.118271+01:00,Round 30,2024-06-03T17:47:26.118271+01:00,1,2024-06-03T17:47:26.330584+01:00,true,2024-06-03T17:51:12.084665+01:00
01HZFFZ8DR44DKWCC2AKF73SQG,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.136405+01:00,3000,2024-06-03T17:47:26.136405+01:00,true,2024-06-03T17:52:19.978388+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.136405+01:00,46,2024-06-03T17:47:26.136405+01:00,Round 46,2024-06-03T17:47:26.136405+01:00,1,2024-06-03T17:47:26.412468+01:00,true,2024-06-03T17:52:17.33451+01:00
01HZFFZ8D2HB53PR3P48MWZC4R,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:47:26.114742+01:00,3000,2024-06-03T17:47:26.114742+01:00,true,2024-06-03T17:50:11.996274+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:47:26.114742+01:00,18,2024-06-03T17:47:26.114742+01:00,Round 18,2024-06-03T17:47:26.114742+01:00,1,2024-06-03T17:47:26.26601+01:00,true,2024-06-03T17:50:09.334877+01:00
