id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01HZFG6EQCV8HP7FKCM300W7MX,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:51:21.964329+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:51:21.964329+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:51:21.964329+01:00,01HZFFZ8D64VHEPDRVFP23HWMD,2024-06-03T17:51:21.964329+01:00,01HZFFZ8M16791DVWM1X6DQZ9H,2024-06-03T17:51:21.964329+01:00,true,2024-06-03T17:51:38.413154+01:00
01HZFG7ZMXS3K1ETN81HSVH67M,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:52:12.061796+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:52:12.061796+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:52:12.061796+01:00,01HZFFZ8DQBAGJCBC8EWKJXKRG,2024-06-03T17:52:12.061796+01:00,01HZFFZ8P1E0G264VMM5FF8X7Q,2024-06-03T17:52:12.061796+01:00,true,2024-06-03T17:52:14.753499+01:00
01HZFG3MZ3ATB01PHK1NV37GVY,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:49:50.051983+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:49:50.051983+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:49:50.051983+01:00,01HZFFZ8D1KN25625JYMXWAHED,2024-06-03T17:49:50.051983+01:00,01HZFFZ8GBQRCQW79JED6W98K8,2024-06-03T17:49:50.051983+01:00,true,2024-06-03T17:49:52.574558+01:00
01HZFG3WV6E1PEG0GS7DGM6S5T,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:49:58.118415+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:49:58.118415+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:49:58.118415+01:00,01HZFFZ8D1KN25625JZHJZ31NY,2024-06-03T17:49:58.118415+01:00,01HZFFZ8GYJW9GAYWVVJNK3JQ2,2024-06-03T17:49:58.118415+01:00,true,2024-06-03T17:50:00.722338+01:00
01HZFG4WP8SX5VD39R9K7TNX2H,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:50:30.728384+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:50:30.728384+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:50:30.728384+01:00,01HZFFZ8D32HEAT431V2ECKHRF,2024-06-03T17:50:30.728384+01:00,01HZFFZ8JMSVWPZMVMC55MRA32,2024-06-03T17:50:30.728384+01:00,true,2024-06-03T17:50:33.320999+01:00
01HZFG7G99P6VH8CX4P93ASSQ9,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:51:56.329978+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:51:56.329978+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:51:56.329978+01:00,01HZFFZ8DNH6R00PMCEPJABCK2,2024-06-03T17:51:56.329978+01:00,01HZFFZ8N87HKW6BPZE50ND508,2024-06-03T17:51:56.329978+01:00,true,2024-06-03T17:52:03.788776+01:00
01HZFG18S4FVZJTSZ7TSB9BK42,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:48:32.036704+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:48:32.036704+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:48:32.036704+01:00,01HZFFZ8D0H0RH161MXQ9JR4NW,2024-06-03T17:48:32.036704+01:00,01HZFFZ8F5DN0KYNTRK69691MD,2024-06-03T17:48:32.036704+01:00,true,2024-06-03T17:48:35.040341+01:00
01HZFG3T9T413KCR37ZZS365XZ,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:49:55.514582+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:49:55.514582+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:49:55.514582+01:00,01HZFFZ8D1KN25625JZ0RE9J51,2024-06-03T17:49:55.514582+01:00,01HZFFZ8GQN61P3VW6Z8P2FBV8,2024-06-03T17:49:55.514582+01:00,true,2024-06-03T17:49:58.088895+01:00
01HZFG62AFZFZVTDWF6SZ2G0NN,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:51:09.264008+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:51:09.264008+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:51:09.264008+01:00,01HZFFZ8D5R8WD8TXXW6DY682Q,2024-06-03T17:51:09.264008+01:00,01HZFFZ8KKWGPT25XP95SW2CVD,2024-06-03T17:51:09.264008+01:00,true,2024-06-03T17:51:12.07092+01:00
01HZFG7183R6HPXWH7VZ93DXYJ,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:51:40.931771+01:00,01HZFFYAMEDY1RZY7M1YWABEGE,2024-06-03T17:51:40.931771+01:00,01HZFFZ5VPWEKY4YB2GG81JR8P,2024-06-03T17:51:40.931771+01:00,01HZFFZ8D7MDM9YC2T37FFPWCR,2024-06-03T17:51:40.931771+01:00,01HZFFZ8MB68024A1PAK6KN9Q7,2024-06-03T17:51:40.931771+01:00,true,2024-06-03T17:51:43.620396+01:00
