id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01J06ZN7C676209MF0D115W7V4,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:44:06.534254+01:00,3000,2024-06-12T20:44:06.534254+01:00,true,2024-06-12T20:44:38.289524+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:44:06.534254+01:00,3,2024-06-12T20:44:06.534254+01:00,true,2024-06-12T20:44:36.608575+01:00,swipeProfile_4,2024-06-12T20:44:06.534254+01:00,01J06ZN79A90F0JK67HN5ERMKA,2024-06-12T20:44:06.534254+01:00,true,2024-06-12T20:44:36.602133+01:00,true,2024-06-12T20:44:36.614316+01:00,01J06ZN7A36K2MTB4824J4XZMP,2024-06-12T20:44:06.534254+01:00
01J06ZN7C7QETSK51ZN5FJVDQD,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:44:06.535218+01:00,3000,2024-06-12T20:44:06.535218+01:00,true,2024-06-12T20:44:48.429815+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:44:06.535218+01:00,7,2024-06-12T20:44:06.535218+01:00,true,2024-06-12T20:44:46.899272+01:00,swipeProfile_8,2024-06-12T20:44:06.535218+01:00,01J06ZN79A90F0JK67HN5ERMKA,2024-06-12T20:44:06.535218+01:00,true,2024-06-12T20:44:46.892321+01:00,true,2024-06-12T20:44:46.904171+01:00,01J06ZN7A9WJW4SEYHD5FWZYZ2,2024-06-12T20:44:06.535218+01:00
01J06ZG1Q81X00205C2KXQ93RK,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:16.904506+01:00,3000,2024-06-12T20:41:16.904506+01:00,true,2024-06-12T20:42:10.438942+01:00,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:41:16.904506+01:00,18,2024-06-12T20:41:16.904506+01:00,true,2024-06-12T20:42:08.90871+01:00,swipeProfile_19,2024-06-12T20:41:16.904506+01:00,01J06ZG1M9M8MKE2K8Y0TPQ721,2024-06-12T20:41:16.904506+01:00,true,2024-06-12T20:42:08.901671+01:00,true,2024-06-12T20:42:08.915062+01:00,01J06ZG1NQVQ4XW2ST1K9NJE65,2024-06-12T20:41:16.904506+01:00
01J06ZG1Q91BCFPWHV80436N1J,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:16.905339+01:00,3000,2024-06-12T20:41:16.905339+01:00,true,2024-06-12T20:42:20.079473+01:00,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:41:16.905339+01:00,22,2024-06-12T20:41:16.905339+01:00,true,2024-06-12T20:42:18.660665+01:00,swipeProfile_23,2024-06-12T20:41:16.905339+01:00,01J06ZG1M9M8MKE2K8Y0TPQ721,2024-06-12T20:41:16.905339+01:00,true,2024-06-12T20:42:18.653704+01:00,true,2024-06-12T20:42:18.666502+01:00,01J06ZG1NXKJWZDD99X91CYDYY,2024-06-12T20:41:16.905339+01:00
01J06ZG1Q91BCFPWHV9S72HTJV,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:16.905705+01:00,3000,2024-06-12T20:41:16.905705+01:00,true,2024-06-12T20:42:24.795679+01:00,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:41:16.905705+01:00,25,2024-06-12T20:41:16.905705+01:00,true,2024-06-12T20:42:23.143343+01:00,swipeProfile_26,2024-06-12T20:41:16.905705+01:00,01J06ZG1M9M8MKE2K8Y0TPQ721,2024-06-12T20:41:16.905705+01:00,true,2024-06-12T20:42:23.136878+01:00,true,2024-06-12T20:42:23.150487+01:00,01J06ZG1P1V2TS4JADYZA91FYD,2024-06-12T20:41:16.905705+01:00
01J06ZN7C7QETSK51ZPDW6E4VE,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:44:06.535754+01:00,3000,2024-06-12T20:44:06.535754+01:00,true,2024-06-12T20:44:55.763815+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:44:06.535754+01:00,9,2024-06-12T20:44:06.535754+01:00,true,2024-06-12T20:44:50.142696+01:00,swipeProfile_10,2024-06-12T20:44:06.535754+01:00,01J06ZN79A90F0JK67HN5ERMKA,2024-06-12T20:44:06.535754+01:00,true,2024-06-12T20:44:50.137003+01:00,true,2024-06-12T20:44:50.147796+01:00,01J06ZN7ACXZQVHH0466N73K4K,2024-06-12T20:44:06.535754+01:00
01J0701Z6CFMXDEC636342E9PM,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:04.140239+01:00,3000,2024-06-12T20:51:04.140239+01:00,true,2024-06-12T20:52:51.968395+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:04.140239+01:00,38,2024-06-12T20:51:04.140239+01:00,true,2024-06-12T20:52:50.318642+01:00,swipeProfile_39,2024-06-12T20:51:04.140239+01:00,01J0701Z2SA8WANEWZFVFVBX7A,2024-06-12T20:51:04.140239+01:00,true,2024-06-12T20:52:50.307373+01:00,true,2024-06-12T20:52:50.325414+01:00,01J0701Z5JA45HB9456WZCHPW0,2024-06-12T20:51:04.140239+01:00
01J0701Z64E1D1VW3XDV09D9NP,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:04.132752+01:00,3000,2024-06-12T20:51:04.132752+01:00,true,2024-06-12T20:51:48.192737+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:04.132752+01:00,9,2024-06-12T20:51:04.132752+01:00,true,2024-06-12T20:51:42.775721+01:00,swipeProfile_10,2024-06-12T20:51:04.132752+01:00,01J0701Z2SA8WANEWZFVFVBX7A,2024-06-12T20:51:04.132752+01:00,true,2024-06-12T20:51:42.768002+01:00,true,2024-06-12T20:51:42.781324+01:00,01J0701Z4EMXJ5ESXCKQYVDDSS,2024-06-12T20:51:04.132752+01:00
01J0701Z67152XX9XEHZ6M0FW8,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:04.135099+01:00,3000,2024-06-12T20:51:04.135099+01:00,true,2024-06-12T20:52:03.23322+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:04.135099+01:00,18,2024-06-12T20:51:04.135099+01:00,true,2024-06-12T20:52:01.642925+01:00,swipeProfile_19,2024-06-12T20:51:04.135099+01:00,01J0701Z2SA8WANEWZFVFVBX7A,2024-06-12T20:51:04.135099+01:00,true,2024-06-12T20:52:01.630275+01:00,true,2024-06-12T20:52:01.653632+01:00,01J0701Z4SWHX2JBK3NB663DZM,2024-06-12T20:51:04.135099+01:00
01J06ZN7CA07FVY6BPVH1H6V5M,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:44:06.538878+01:00,3000,2024-06-12T20:44:06.538878+01:00,true,2024-06-12T20:45:32.101027+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:44:06.538878+01:00,26,2024-06-12T20:44:06.538878+01:00,true,2024-06-12T20:45:25.777704+01:00,swipeProfile_27,2024-06-12T20:44:06.538878+01:00,01J06ZN79A90F0JK67HN5ERMKA,2024-06-12T20:44:06.538878+01:00,true,2024-06-12T20:45:25.770409+01:00,true,2024-06-12T20:45:25.783739+01:00,01J06ZN7B2PYCMYHZN8J51SG87,2024-06-12T20:44:06.538878+01:00
