id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01J06ZVYXEGB40WZV767BM18X4,1,2024-06-12T20:47:58.897842+01:00,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:47:47.246422+01:00,true,2024-06-12T20:50:51.712794+01:00,end of game,2024-06-12T20:50:51.719093+01:00,01J06ZVYXXMGJET180H5T8ZPST,2024-06-12T20:47:47.264347+01:00,01J06ZWA9MEH1FD5XEHJT530KT,2024-06-12T20:47:58.904177+01:00,2,2024-06-12T20:47:58.917433+01:00,null,2024-06-12T20:50:51.712794+01:00,true,2024-06-12T20:47:58.897842+01:00,true,2024-06-12T20:47:58.897842+01:00,ended,2024-06-12T20:50:51.719093+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-12T20:47:47.246422+01:00,Solo,2024-06-12T20:47:47.246422+01:00
01J06ZVYXEGB40WZV76NGC04JT,1,2024-06-12T20:51:04.004527+01:00,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:47:47.246833+01:00,true,2024-06-12T20:53:41.468524+01:00,end of game,2024-06-12T20:53:41.474959+01:00,01J06ZVYYD1E8KFDD805AC6Z2G,2024-06-12T20:47:47.279455+01:00,01J0701Z28D1GA0N8XKX50NQ1W,2024-06-12T20:51:04.012627+01:00,2,2024-06-12T20:51:04.02597+01:00,null,2024-06-12T20:53:41.468524+01:00,true,2024-06-12T20:51:04.004527+01:00,true,2024-06-12T20:51:04.004527+01:00,ended,2024-06-12T20:53:41.474959+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-12T20:47:47.246833+01:00,Solo,2024-06-12T20:47:47.246833+01:00
01J06ZFPS76X71PY6PJ4Q4Q992,1,2024-06-12T20:44:06.422898+01:00,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:05.703339+01:00,true,2024-06-12T20:46:49.816932+01:00,end of game,2024-06-12T20:46:49.824097+01:00,01J06ZFPSW21VS82QM48B5F64P,2024-06-12T20:41:05.726824+01:00,01J06ZN78TV1D0TN6JSJQ2WJM2,2024-06-12T20:44:06.429954+01:00,2,2024-06-12T20:44:06.444757+01:00,null,2024-06-12T20:46:49.816932+01:00,true,2024-06-12T20:44:06.422898+01:00,true,2024-06-12T20:44:06.422898+01:00,ended,2024-06-12T20:46:49.824097+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-12T20:41:05.703339+01:00,Solo,2024-06-12T20:41:05.703339+01:00
01J06ZFPS8SXPJ27H94F8M5V2Q,1,2024-06-12T20:41:16.778837+01:00,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:05.70467+01:00,true,2024-06-12T20:43:56.151917+01:00,end of game,2024-06-12T20:43:56.158828+01:00,01J06ZFPTDBS7A88P56GB147X6,2024-06-12T20:41:05.743608+01:00,01J06ZG1KG5E5W0X7CCHMVQCH9,2024-06-12T20:41:16.791371+01:00,2,2024-06-12T20:41:16.809458+01:00,null,2024-06-12T20:43:56.151917+01:00,true,2024-06-12T20:41:16.778837+01:00,true,2024-06-12T20:41:16.778837+01:00,ended,2024-06-12T20:43:56.158828+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-12T20:41:05.70467+01:00,Solo,2024-06-12T20:41:05.70467+01:00
