id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01J06ZG1KT0RD8V29ENB8RKYTW,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:16.794302+01:00,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:41:16.794302+01:00,01J06ZFW9HMHEH3X8KA2PFBE9M,2024-06-12T20:41:16.794302+01:00
01J06ZN790X1K0XJNJ0ZD20PS6,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:44:06.432714+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:44:06.432714+01:00,01J06ZN4N62G79PWVCE05XDDR3,2024-06-12T20:44:06.432714+01:00
01J06ZWA9T16MPWRRH1JHS9T3Q,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:47:58.906569+01:00,01J06ZVYXEGB40WZV767BM18X4,2024-06-12T20:47:58.906569+01:00,01J06ZW8BASQTF1WSCTP5P5KTW,2024-06-12T20:47:58.906569+01:00
01J0701Z2FP7V0HJGBM36GEHK1,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:04.015095+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:04.015095+01:00,01J0701WFZ82V7PH0DEPX7AY2G,2024-06-12T20:51:04.015095+01:00
