id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01J06ZG28KGH3G7SPRGXS109KC,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:17.45982+01:00,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:41:17.45982+01:00,01J06ZFW9HMHEH3X8KA2PFBE9M,2024-06-12T20:41:17.45982+01:00,01J06ZG1M64MJR11XQ1GEWA2W6,2024-06-12T20:41:17.45982+01:00,01J06ZG1MNMW8DX78XR30EHFWC,2024-06-12T20:41:17.45982+01:00,true,2024-06-12T20:41:18.479721+01:00
01J06ZQG4Z49Z3YZEQ6ZDHVBVR,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:45:21.055876+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:45:21.055876+01:00,01J06ZN4N62G79PWVCE05XDDR3,2024-06-12T20:45:21.055876+01:00,01J06ZN79A90F0JK67HN5ERMKA,2024-06-12T20:45:21.055876+01:00,01J06ZN7CA07FVY6BPSEX3NTWJ,2024-06-12T20:45:21.055876+01:00,true,2024-06-12T20:45:22.660515+01:00
01J07030EWEDYM633S1QSKY4S9,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:38.204063+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:38.204063+01:00,01J0701WFZ82V7PH0DEPX7AY2G,2024-06-12T20:51:38.204063+01:00,01J0701Z2SA8WANEWZFVFVBX7A,2024-06-12T20:51:38.204063+01:00,01J0701Z63T58GFZGPCQN6NXHA,2024-06-12T20:51:38.204063+01:00,true,2024-06-12T20:51:39.68878+01:00
01J06ZQD22Q8DH5XMKJJ2N24EQ,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:45:17.890116+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:45:17.890116+01:00,01J06ZN4N62G79PWVCE05XDDR3,2024-06-12T20:45:17.890116+01:00,01J06ZN79A90F0JK67HN5ERMKA,2024-06-12T20:45:17.890116+01:00,01J06ZN7CA07FVY6BPRD0QFVQF,2024-06-12T20:45:17.890116+01:00,true,2024-06-12T20:45:19.350651+01:00
01J0705HA9HKG307GCWY8P4GXK,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:53:01.001337+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:53:01.001337+01:00,01J0701WFZ82V7PH0DEPX7AY2G,2024-06-12T20:53:01.001337+01:00,01J0701Z2SA8WANEWZFVFVBX7A,2024-06-12T20:53:01.001337+01:00,01J0701Z6D0X94KJ8KHP8TZTCW,2024-06-12T20:53:01.001337+01:00,true,2024-06-12T20:53:02.461174+01:00
01J06ZKN1D228NQM2RNESA482M,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:43:14.989869+01:00,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:43:14.989869+01:00,01J06ZFW9HMHEH3X8KA2PFBE9M,2024-06-12T20:43:14.989869+01:00,01J06ZG1M9M8MKE2K8Y0TPQ721,2024-06-12T20:43:14.989869+01:00,01J06ZG1QCM2NR334SKKMQP84E,2024-06-12T20:43:14.989869+01:00,true,2024-06-12T20:43:16.633455+01:00
01J06ZZH78BA3GPKB92MWR9Y9Z,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:49:44.296514+01:00,01J06ZVYXEGB40WZV767BM18X4,2024-06-12T20:49:44.296514+01:00,01J06ZW8BASQTF1WSCTP5P5KTW,2024-06-12T20:49:44.296514+01:00,01J06ZWAA4P3B4WRSHXV6231GE,2024-06-12T20:49:44.296514+01:00,01J06ZWAD2HSVCQ5AWJKZ8AA3P,2024-06-12T20:49:44.296514+01:00,true,2024-06-12T20:49:45.72963+01:00
01J07003JDSHG30HNM7FSHYJKC,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:50:03.08505+01:00,01J06ZVYXEGB40WZV767BM18X4,2024-06-12T20:50:03.08505+01:00,01J06ZW8BASQTF1WSCTP5P5KTW,2024-06-12T20:50:03.08505+01:00,01J06ZWAA4P3B4WRSHXV6231GE,2024-06-12T20:50:03.08505+01:00,01J06ZWAD5TTJRCQPF7WX62X39,2024-06-12T20:50:03.08505+01:00,true,2024-06-12T20:50:04.606268+01:00
01J0702Q91ZNA86KGST2F9RT7Y,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:28.801414+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:28.801414+01:00,01J0701WFZ82V7PH0DEPX7AY2G,2024-06-12T20:51:28.801414+01:00,01J0701Z2SA8WANEWZFVFVBX7A,2024-06-12T20:51:28.801414+01:00,01J0701Z63T58GFZGPBHMW6NCD,2024-06-12T20:51:28.801414+01:00,true,2024-06-12T20:51:35.505227+01:00
01J06ZS99G23RNGT4DQ6G9WK30,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:46:19.568095+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:46:19.568095+01:00,01J06ZN4N62G79PWVCE05XDDR3,2024-06-12T20:46:19.568095+01:00,01J06ZN79A90F0JK67HN5ERMKA,2024-06-12T20:46:19.568095+01:00,01J06ZN7CEE3RKF6F4C709ZW9J,2024-06-12T20:46:19.568095+01:00,true,2024-06-12T20:46:24.259167+01:00
