id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01J0GBDF0ZJ6QAAM5K9PQQC3DE,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:02:45.023669901Z,true,2024-06-16T11:03:55.773687723Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:02:45.023669901Z,2,2024-06-16T11:02:45.023669901Z,afterRounds,2024-06-16T11:02:45.023669901Z,2,2024-06-16T11:02:45.174997915Z,true,2024-06-16T11:03:36.011287013Z
01J0GBDF118DRTYQZCSGFZK36G,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:02:45.025695906Z,true,2024-06-16T11:03:35.996172971Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:02:45.025695906Z,1,2024-06-16T11:02:45.025695906Z,swipeRound,2024-06-16T11:02:45.025695906Z,15,2024-06-16T11:02:45.15701101Z,true,2024-06-16T11:03:02.813976001Z
01J0GBA3A08F5XDXEYA71F5R73,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:00:54.720114128Z,true,2024-06-16T11:01:12.715903384Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:00:54.720114128Z,0,2024-06-16T11:00:54.720114128Z,preRounds,2024-06-16T11:00:54.720114128Z,3,2024-06-16T11:00:54.760595856Z,true,2024-06-16T11:00:54.951749989Z
01J0GBA3A1Q1A58VNC7QP16FGQ,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:00:54.721894982Z,true,2024-06-16T11:01:45.509002777Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:00:54.721894982Z,1,2024-06-16T11:00:54.721894982Z,swipeRound,2024-06-16T11:00:54.721894982Z,15,2024-06-16T11:00:54.861303578Z,true,2024-06-16T11:01:12.730048262Z
01J0GBA3A7VJWGTDWD4WABA39C,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:00:54.727143835Z,true,2024-06-16T11:02:05.482179206Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:00:54.727143835Z,2,2024-06-16T11:00:54.727143835Z,afterRounds,2024-06-16T11:00:54.727143835Z,2,2024-06-16T11:00:54.879507811Z,true,2024-06-16T11:01:45.528753774Z
01J0GBDF0TN3HP6FD5KMWPK68M,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:02:45.018322729Z,true,2024-06-16T11:03:02.802901436Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:02:45.018322729Z,0,2024-06-16T11:02:45.018322729Z,preRounds,2024-06-16T11:02:45.018322729Z,3,2024-06-16T11:02:45.05545102Z,true,2024-06-16T11:02:45.235008474Z
