id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01J0GBA43T126JX9XDHC8ZF6WF,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:00:55.547000116Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:00:55.547000116Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:00:55.547000116Z,01J0GBA3A08F5XDXEYA71F5R73,2024-06-16T11:00:55.547000116Z,01J0GBA3B0EX9X0498XJ3TESAK,2024-06-16T11:00:55.547000116Z,true,2024-06-16T11:00:56.926500249Z
01J0GBA5FR7GDYJPQNTXP601HK,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:00:56.952177992Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:00:56.952177992Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:00:56.952177992Z,01J0GBA3A08F5XDXEYA71F5R73,2024-06-16T11:00:56.952177992Z,01J0GBA3B0EX9X0498Y666Q6BX,2024-06-16T11:00:56.952177992Z,true,2024-06-16T11:01:03.359384244Z
01J0GBB1E1283Y23CZGA6TN6J9,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:01:25.569912529Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:01:25.569912529Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:01:25.569912529Z,01J0GBA3A1Q1A58VNC7QP16FGQ,2024-06-16T11:01:25.569912529Z,01J0GBA3DME9RFVTHFK7A82GP7,2024-06-16T11:01:25.569912529Z,true,2024-06-16T11:01:27.361115767Z
01J0GBB7JS7J33VXB4R5XT1DNZ,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:01:31.865381926Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:01:31.865381926Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:01:31.865381926Z,01J0GBA3A1Q1A58VNC7QP16FGQ,2024-06-16T11:01:31.865381926Z,01J0GBA3DN42MR6N7N65BSEV4D,2024-06-16T11:01:31.865381926Z,true,2024-06-16T11:01:37.114426602Z
01J0GBC0FNQJHZH552VM330066,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:01:57.365198059Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:01:57.365198059Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:01:57.365198059Z,01J0GBA3A7VJWGTDWD4WABA39C,2024-06-16T11:01:57.365198059Z,01J0GBA3ETVVECB7YSK7Y1S6YK,2024-06-16T11:01:57.365198059Z,true,2024-06-16T11:02:05.44634284Z
01J0GBEEM1NPC4TP14ZQHWBYP7,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:03:17.377545479Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:03:17.377545479Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:03:17.377545479Z,01J0GBDF118DRTYQZCSGFZK36G,2024-06-16T11:03:17.377545479Z,01J0GBDF414KN6M1NDRKCQEMFS,2024-06-16T11:03:17.377545479Z,true,2024-06-16T11:03:18.865701377Z
01J0GBAPKAMG53HXQ3W7BBVX1T,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:01:14.474459395Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:01:14.474459395Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:01:14.474459395Z,01J0GBA3A1Q1A58VNC7QP16FGQ,2024-06-16T11:01:14.474459395Z,01J0GBA3DJ9A0ATRF3SE8R201J,2024-06-16T11:01:14.474459395Z,true,2024-06-16T11:01:16.041947541Z
01J0GBBKE56V5JQMZT3QAHJ35T,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:01:44.005716172Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:01:44.005716172Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:01:44.005716172Z,01J0GBA3A1Q1A58VNC7QP16FGQ,2024-06-16T11:01:44.005716172Z,01J0GBA3DPTVCHG84QH7XHTMSZ,2024-06-16T11:01:44.005716172Z,true,2024-06-16T11:01:45.486086885Z
01J0GBDFREYJ5RNWP152N53MWD,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:02:45.774112722Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:02:45.774112722Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:02:45.774112722Z,01J0GBDF0TN3HP6FD5KMWPK68M,2024-06-16T11:02:45.774112722Z,01J0GBDF1REHN58KXHX85H675S,2024-06-16T11:02:45.774112722Z,true,2024-06-16T11:02:46.901876091Z
01J0GBDPJ05PHJ2C48QH2VSKAT,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:02:52.736311112Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:02:52.736311112Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:02:52.736311112Z,01J0GBDF0TN3HP6FD5KMWPK68M,2024-06-16T11:02:52.736311112Z,01J0GBDF1SK5X6VZKV488NC7G1,2024-06-16T11:02:52.736311112Z,true,2024-06-16T11:03:02.771350631Z
01J0GBE58ZG8D174JW2H9BTR83,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:03:07.807662815Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:03:07.807662815Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:03:07.807662815Z,01J0GBDF118DRTYQZCSGFZK36G,2024-06-16T11:03:07.807662815Z,01J0GBDF414KN6M1NDNRRF2RJB,2024-06-16T11:03:07.807662815Z,true,2024-06-16T11:03:12.841302605Z
01J0GBEA808VKWFQNFDGFM2KAX,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:03:12.896883577Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:03:12.896883577Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:03:12.896883577Z,01J0GBDF118DRTYQZCSGFZK36G,2024-06-16T11:03:12.896883577Z,01J0GBDF414KN6M1NDPGP11D9W,2024-06-16T11:03:12.896883577Z,true,2024-06-16T11:03:14.308338522Z
01J0GBAV4THX28YPSVCV2P3BNN,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:01:19.130424594Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:01:19.130424594Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:01:19.130424594Z,01J0GBA3A1Q1A58VNC7QP16FGQ,2024-06-16T11:01:19.130424594Z,01J0GBA3DKCVG5SWJTFBKCRV9Z,2024-06-16T11:01:19.130424594Z,true,2024-06-16T11:01:25.5320624Z
01J0GBB60RB5CQ6MD400Y973PW,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:01:30.264906018Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:01:30.264906018Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:01:30.264906018Z,01J0GBA3A1Q1A58VNC7QP16FGQ,2024-06-16T11:01:30.264906018Z,01J0GBA3DME9RFVTHFN35EW6ZH,2024-06-16T11:01:30.264906018Z,true,2024-06-16T11:01:31.836543656Z
01J0GBE0E25YHYZ74PQS0X3D71,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:03:02.850775468Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:03:02.850775468Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:03:02.850775468Z,01J0GBDF118DRTYQZCSGFZK36G,2024-06-16T11:03:02.850775468Z,01J0GBDF40751Q49C6NFZXQE2C,2024-06-16T11:03:02.850775468Z,true,2024-06-16T11:03:04.377992877Z
01J0GBE1YVTZ7X4NCYP6AQXH5F,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:03:04.411660894Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:03:04.411660894Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:03:04.411660894Z,01J0GBDF118DRTYQZCSGFZK36G,2024-06-16T11:03:04.411660894Z,01J0GBDF40751Q49C6P13F6PE4,2024-06-16T11:03:04.411660894Z,true,2024-06-16T11:03:06.16730242Z
01J0GBED5R50CF1A7RAANQ1MD6,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:03:15.896805575Z,01J0GB96Y3KJMXZEK2KTB077C4,2024-06-16T11:03:15.896805575Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:03:15.896805575Z,01J0GBDF118DRTYQZCSGFZK36G,2024-06-16T11:03:15.896805575Z,01J0GBDF414KN6M1NDQV5HGR24,2024-06-16T11:03:15.896805575Z,true,2024-06-16T11:03:17.349673257Z
01J0GBABS5DZT8EF5XS5130PER,01J0GB96WZJ7WQ993C4EFXG7JC,2024-06-16T11:01:03.39804975Z,01J0GB96Y0DRVHTR80GMKNWZSJ,2024-06-16T11:01:03.39804975Z,01J0GBA0JG281G5XDXEA05470D,2024-06-16T11:01:03.39804975Z,01J0GBA3A08F5XDXEYA71F5R73,2024-06-16T11:01:03.39804975Z,01J0GBA3B2PT389WC7ZXPA62T7,2024-06-16T11:01:03.39804975Z,true,2024-06-16T11:01:12.686252331Z
