id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01J0JKFD87T1V6R2KZAB0B89EW,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:02:06.215465+01:00,false,2024-06-17T09:02:06.215465+01:00,01J0JKF4TENJBC51WBN7DH2E5M,2024-06-17T09:02:06.215465+01:00,2,2024-06-17T09:02:06.215465+01:00,afterRounds,2024-06-17T09:02:06.215465+01:00,2,2024-06-17T09:02:06.341965+01:00,false,2024-06-17T09:02:06.215465+01:00
01J0G9HKHVW5NE75112FYQG3W1,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:30:03.579771+01:00,true,2024-06-16T11:30:20.549366+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:30:03.579771+01:00,0,2024-06-16T11:30:03.579771+01:00,preRounds,2024-06-16T11:30:03.579771+01:00,3,2024-06-16T11:30:03.597761+01:00,true,2024-06-16T11:30:03.736502+01:00
01J0G9PHWZXVFCZDTXXKBPJ617,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:32:45.727965+01:00,true,2024-06-16T11:34:57.246804+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:32:45.727965+01:00,1,2024-06-16T11:32:45.727965+01:00,swipeRound,2024-06-16T11:32:45.727965+01:00,50,2024-06-16T11:32:45.861398+01:00,true,2024-06-16T11:33:02.429307+01:00
01J0GJ3RH02X46QR5ECFN01PC7,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T13:59:47.104403+01:00,false,2024-06-16T13:59:47.104403+01:00,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T13:59:47.104403+01:00,2,2024-06-16T13:59:47.104403+01:00,afterRounds,2024-06-16T13:59:47.104403+01:00,2,2024-06-16T13:59:47.228221+01:00,false,2024-06-16T13:59:47.104403+01:00
01J0GJ3RGXZ9F0RANWJW1B23CG,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T13:59:47.102012+01:00,true,2024-06-16T14:00:05.350007+01:00,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T13:59:47.102012+01:00,0,2024-06-16T13:59:47.102012+01:00,preRounds,2024-06-16T13:59:47.102012+01:00,3,2024-06-16T13:59:47.117583+01:00,true,2024-06-16T13:59:47.25726+01:00
01J0JKRF7F23TPZY70518D0X2X,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.151487+01:00,true,2024-06-17T09:14:55.306916+01:00,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.151487+01:00,2,2024-06-17T09:07:03.151487+01:00,afterRounds,2024-06-17T09:07:03.151487+01:00,2,2024-06-17T09:07:03.283117+01:00,true,2024-06-17T09:14:36.089869+01:00
01J0G9PHWZXVFCZDTXX5SZBH0E,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:32:45.727697+01:00,true,2024-06-16T11:33:02.425307+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:32:45.727697+01:00,0,2024-06-16T11:32:45.727697+01:00,preRounds,2024-06-16T11:32:45.727697+01:00,3,2024-06-16T11:32:45.743081+01:00,true,2024-06-16T11:32:45.894317+01:00
01J0GJ3RGZWHSMEBAS9NEJV8ZH,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T13:59:47.103304+01:00,true,2024-06-16T16:20:13.011322+01:00,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T13:59:47.103304+01:00,1,2024-06-16T13:59:47.103304+01:00,swipeRound,2024-06-16T13:59:47.103304+01:00,50,2024-06-16T13:59:47.216011+01:00,true,2024-06-16T14:00:05.356003+01:00
01J0GV7JQB7F2ANFTXQDZSCTRW,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:09.419181+01:00,true,2024-06-16T16:40:46.059867+01:00,01J0GV7A7FZM4QB8ERJ9JXP9QY,2024-06-16T16:39:09.419181+01:00,1,2024-06-16T16:39:09.419181+01:00,swipeRound,2024-06-16T16:39:09.419181+01:00,50,2024-06-16T16:39:09.534085+01:00,true,2024-06-16T16:39:28.707139+01:00
01J0GT56MJ148KMT33PVEC1J6P,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:22.930736+01:00,false,2024-06-16T16:20:22.930736+01:00,01J0GT4XNJSMG4Q5H9YJ4Y2SGP,2024-06-16T16:20:22.930736+01:00,2,2024-06-16T16:20:22.930736+01:00,afterRounds,2024-06-16T16:20:22.930736+01:00,2,2024-06-16T16:20:23.064322+01:00,false,2024-06-16T16:20:22.930736+01:00
01J0G9HKHVW5NE75112ZNQC0AA,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:30:03.579955+01:00,true,2024-06-16T11:32:12.890767+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:30:03.579955+01:00,1,2024-06-16T11:30:03.579955+01:00,swipeRound,2024-06-16T11:30:03.579955+01:00,50,2024-06-16T11:30:03.694706+01:00,true,2024-06-16T11:30:20.554147+01:00
01J0G9PHX14FN9QJFQTT1HYRA8,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:32:45.72935+01:00,true,2024-06-16T11:35:28.174462+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:32:45.72935+01:00,2,2024-06-16T11:32:45.72935+01:00,afterRounds,2024-06-16T11:32:45.72935+01:00,2,2024-06-16T11:32:45.867466+01:00,true,2024-06-16T11:34:57.253048+01:00
01J0GT56MJ148KMT33PATECK4E,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:22.930228+01:00,true,2024-06-16T16:20:42.463872+01:00,01J0GT4XNJSMG4Q5H9YJ4Y2SGP,2024-06-16T16:20:22.930228+01:00,0,2024-06-16T16:20:22.930228+01:00,preRounds,2024-06-16T16:20:22.930228+01:00,3,2024-06-16T16:20:22.946364+01:00,true,2024-06-16T16:20:23.095121+01:00
01J0GVAVX5M9YF5DSB9JV0TR3H,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:40:57.125793+01:00,false,2024-06-16T16:40:57.125793+01:00,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:40:57.125793+01:00,2,2024-06-16T16:40:57.125793+01:00,afterRounds,2024-06-16T16:40:57.125793+01:00,2,2024-06-16T16:40:57.250848+01:00,false,2024-06-16T16:40:57.125793+01:00
01J0JJS2HMRMMEE6JM03YA5KD6,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:49:54.356989+01:00,true,2024-06-17T08:50:18.825871+01:00,01J0JJRRXTQZ2XNT1W96649X86,2024-06-17T08:49:54.356989+01:00,0,2024-06-17T08:49:54.356989+01:00,preRounds,2024-06-17T08:49:54.356989+01:00,3,2024-06-17T08:49:54.374835+01:00,true,2024-06-17T08:49:54.543439+01:00
01J0GTB158624J3H4K6R2CTASN,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:33.928884+01:00,true,2024-06-16T16:23:59.256291+01:00,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:23:33.928884+01:00,0,2024-06-16T16:23:33.928884+01:00,preRounds,2024-06-16T16:23:33.928884+01:00,3,2024-06-16T16:23:33.946324+01:00,true,2024-06-16T16:23:34.094398+01:00
01J0GTB159PJ5CR41CKFWMCC8A,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:33.929324+01:00,false,2024-06-16T16:23:33.929324+01:00,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:23:33.929324+01:00,1,2024-06-16T16:23:33.929324+01:00,swipeRound,2024-06-16T16:23:33.929324+01:00,50,2024-06-16T16:23:34.057183+01:00,true,2024-06-16T16:23:59.260748+01:00
01J0GVAVX4SHCWMWSHR0TDKB9F,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:40:57.124498+01:00,false,2024-06-16T16:40:57.124498+01:00,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:40:57.124498+01:00,1,2024-06-16T16:40:57.124498+01:00,swipeRound,2024-06-16T16:40:57.124498+01:00,50,2024-06-16T16:40:57.238566+01:00,true,2024-06-16T16:41:18.277995+01:00
01J0JM7ECV8RX8VVEY1XA4DJK8,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:13.819263+01:00,true,2024-06-17T09:15:37.379006+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:13.819263+01:00,0,2024-06-17T09:15:13.819263+01:00,preRounds,2024-06-17T09:15:13.819263+01:00,3,2024-06-17T09:15:13.838284+01:00,true,2024-06-17T09:15:13.98256+01:00
01J0JM7ECWZ3CKVTBZXSQT14DY,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:13.820602+01:00,true,2024-06-17T09:17:52.750287+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:13.820602+01:00,2,2024-06-17T09:15:13.820602+01:00,afterRounds,2024-06-17T09:15:13.820602+01:00,2,2024-06-17T09:15:13.943708+01:00,true,2024-06-17T09:17:37.228105+01:00
01J0GTB159PJ5CR41CKX4574BK,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:33.929827+01:00,false,2024-06-16T16:23:33.929827+01:00,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:23:33.929827+01:00,2,2024-06-16T16:23:33.929827+01:00,afterRounds,2024-06-16T16:23:33.929827+01:00,2,2024-06-16T16:23:34.064745+01:00,false,2024-06-16T16:23:33.929827+01:00
01J0JKFD86K00RP403ZZQFJYGJ,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:02:06.214749+01:00,false,2024-06-17T09:02:06.214749+01:00,01J0JKF4TENJBC51WBN7DH2E5M,2024-06-17T09:02:06.214749+01:00,1,2024-06-17T09:02:06.214749+01:00,swipeRound,2024-06-17T09:02:06.214749+01:00,50,2024-06-17T09:02:06.333861+01:00,true,2024-06-17T09:02:25.041755+01:00
01J0JKRF7F23TPZY704HPD51F7,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.151134+01:00,true,2024-06-17T09:14:36.082048+01:00,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.151134+01:00,1,2024-06-17T09:07:03.151134+01:00,swipeRound,2024-06-17T09:07:03.151134+01:00,50,2024-06-17T09:07:03.274647+01:00,true,2024-06-17T09:07:22.519186+01:00
