id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01J0JJS2HPY83X7DD3N3652B3F,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:49:54.35846+01:00,false,2024-06-17T08:49:54.35846+01:00,01J0JJRRXTQZ2XNT1W96649X86,2024-06-17T08:49:54.35846+01:00,2,2024-06-17T08:49:54.35846+01:00,afterRounds,2024-06-17T08:49:54.35846+01:00,2,2024-06-17T08:49:54.505921+01:00,false,2024-06-17T08:49:54.35846+01:00
01J0JKRF7ENZSHHFWJ4WRKNYEK,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.15053+01:00,true,2024-06-17T09:07:22.513638+01:00,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.15053+01:00,0,2024-06-17T09:07:03.15053+01:00,preRounds,2024-06-17T09:07:03.15053+01:00,3,2024-06-17T09:07:03.165794+01:00,true,2024-06-17T09:07:03.31943+01:00
01J0GT56MH4QE84J6XED7T2QMW,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:22.929827+01:00,true,2024-06-16T16:23:06.809355+01:00,01J0GT4XNJSMG4Q5H9YJ4Y2SGP,2024-06-16T16:20:22.929827+01:00,1,2024-06-16T16:20:22.929827+01:00,swipeRound,2024-06-16T16:20:22.929827+01:00,50,2024-06-16T16:20:23.056173+01:00,true,2024-06-16T16:20:42.469708+01:00
01J0GV7JQAR0XX3KD6HBCFVGVX,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:09.41858+01:00,true,2024-06-16T16:39:28.700969+01:00,01J0GV7A7FZM4QB8ERJ9JXP9QY,2024-06-16T16:39:09.41858+01:00,0,2024-06-16T16:39:09.41858+01:00,preRounds,2024-06-16T16:39:09.41858+01:00,3,2024-06-16T16:39:09.435839+01:00,true,2024-06-16T16:39:09.570497+01:00
01J0JJS2HNQ57T97DJF53PFRMT,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:49:54.357617+01:00,false,2024-06-17T08:49:54.357617+01:00,01J0JJRRXTQZ2XNT1W96649X86,2024-06-17T08:49:54.357617+01:00,1,2024-06-17T08:49:54.357617+01:00,swipeRound,2024-06-17T08:49:54.357617+01:00,50,2024-06-17T08:49:54.495964+01:00,true,2024-06-17T08:50:18.831493+01:00
01J0JM7ECV8RX8VVEY2C8MQDXV,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:13.819962+01:00,true,2024-06-17T09:17:37.220856+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:13.819962+01:00,1,2024-06-17T09:15:13.819962+01:00,swipeRound,2024-06-17T09:15:13.819962+01:00,50,2024-06-17T09:15:13.933562+01:00,true,2024-06-17T09:15:37.384225+01:00
01J0G9HKHZG0K7SNT7AJY5SBZ2,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:30:03.583202+01:00,true,2024-06-16T11:32:32.596376+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:30:03.583202+01:00,2,2024-06-16T11:30:03.583202+01:00,afterRounds,2024-06-16T11:30:03.583202+01:00,2,2024-06-16T11:30:03.708803+01:00,true,2024-06-16T11:32:12.896959+01:00
01J0GV7JQB7F2ANFTXR7221ARR,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:09.419944+01:00,false,2024-06-16T16:39:09.419944+01:00,01J0GV7A7FZM4QB8ERJ9JXP9QY,2024-06-16T16:39:09.419944+01:00,2,2024-06-16T16:39:09.419944+01:00,afterRounds,2024-06-16T16:39:09.419944+01:00,2,2024-06-16T16:39:09.54131+01:00,false,2024-06-16T16:39:09.419944+01:00
01J0GVAVX32NMHAHVA451RM88S,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:40:57.123848+01:00,true,2024-06-16T16:41:18.270723+01:00,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:40:57.123848+01:00,0,2024-06-16T16:40:57.123848+01:00,preRounds,2024-06-16T16:40:57.123848+01:00,3,2024-06-16T16:40:57.140806+01:00,true,2024-06-16T16:40:57.291176+01:00
01J0JKFD85X8JYF35D002XS8PJ,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:02:06.213932+01:00,true,2024-06-17T09:02:25.035788+01:00,01J0JKF4TENJBC51WBN7DH2E5M,2024-06-17T09:02:06.213932+01:00,0,2024-06-17T09:02:06.213932+01:00,preRounds,2024-06-17T09:02:06.213932+01:00,3,2024-06-17T09:02:06.230324+01:00,true,2024-06-17T09:02:06.371553+01:00
