id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01J0JM7RE450WQD52G300F270D,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:24.100931+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:24.100931+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:15:24.100931+01:00,01J0JM7ECV8RX8VVEY1XA4DJK8,2024-06-17T09:15:24.100931+01:00,01J0JM7ED9696P9QSW6V53H8T1,2024-06-17T09:15:24.100931+01:00,true,2024-06-17T09:15:37.365922+01:00
01J0G9KGFGDV7CQK6H8TV3J0T9,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:31:05.969015+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:31:05.969015+01:00,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:31:05.969015+01:00,01J0G9HKHVW5NE75112ZNQC0AA,2024-06-16T11:31:05.969015+01:00,01J0G9HKMXGK8XGRQDAZ23S288,2024-06-16T11:31:05.969015+01:00,true,2024-06-16T11:31:07.42794+01:00
01J0G9R8YB35KE2QC6M67FN9SW,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:33:42.09184+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:33:42.09184+01:00,01J0G9PF9WABF1T9GK417HCRDY,2024-06-16T11:33:42.09184+01:00,01J0G9PHWZXVFCZDTXXKBPJ617,2024-06-16T11:33:42.09184+01:00,01J0G9PJ0NFQ2Y8E5FKBEMSBMG,2024-06-16T11:33:42.09184+01:00,true,2024-06-16T11:33:47.379945+01:00
01J0GMDR2AR9GQBMGG45ZKGKZ2,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T14:40:11.466542+01:00,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T14:40:11.466542+01:00,01J0GJ3ACZY1R3EVCG4Z8XTKZS,2024-06-16T14:40:11.466542+01:00,01J0GJ3RGZWHSMEBAS9NEJV8ZH,2024-06-16T14:40:11.466542+01:00,01J0GJ3RKW7A4S89SFPX81QD3G,2024-06-16T14:40:11.466542+01:00,true,2024-06-16T14:40:17.513959+01:00
01J0GTV7PFGA9A4V86C3QRGWKD,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:32:24.911236+01:00,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:32:24.911236+01:00,01J0GTAZ9EH76Q5X74HCYT7ATQ,2024-06-16T16:32:24.911236+01:00,01J0GTB159PJ5CR41CKFWMCC8A,2024-06-16T16:32:24.911236+01:00,01J0GTB18P20MECJXACW41C30R,2024-06-16T16:32:24.911236+01:00,true,2024-06-16T16:32:26.251449+01:00
01J0JM58WZSP9FV1QP3QSMAX0Y,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:14:02.655052+01:00,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:14:02.655052+01:00,01J0JKRCT0VGDWDAC9Q7D9GJDM,2024-06-17T09:14:02.655052+01:00,01J0JKRF7F23TPZY704HPD51F7,2024-06-17T09:14:02.655052+01:00,01J0JKRFAVD9Z5F6DN636SQ9WR,2024-06-17T09:14:02.655052+01:00,true,2024-06-17T09:14:04.545896+01:00
01J0JMA0ZWTT6A17F3NH0D1185,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:16:38.396718+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:16:38.396718+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:16:38.396718+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:16:38.396718+01:00,01J0JM7EFW5VFKQY4EDKEA4A6X,2024-06-17T09:16:38.396718+01:00,true,2024-06-17T09:16:40.159003+01:00
01J0JMA2QEVHSCB7TPV9YT3QYC,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:16:40.174556+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:16:40.174556+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:16:40.174556+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:16:40.174556+01:00,01J0JM7EFXR0EN6TV5NK1CX5Q2,2024-06-17T09:16:40.174556+01:00,true,2024-06-17T09:16:41.796224+01:00
01J0JMBDDB3B430WW1WV5M0VTS,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:17:23.883963+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:17:23.883963+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:17:23.883963+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:17:23.883963+01:00,01J0JM7EG0TAVJQQSJ0C5NHC8P,2024-06-17T09:17:23.883963+01:00,true,2024-06-17T09:17:25.191685+01:00
01J0G9QMCK9N504CVATEJC0513,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:33:21.043267+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:33:21.043267+01:00,01J0G9PF9WABF1T9GK417HCRDY,2024-06-16T11:33:21.043267+01:00,01J0G9PHWZXVFCZDTXXKBPJ617,2024-06-16T11:33:21.043267+01:00,01J0G9PJ0K7DN8K69NK22TDEMG,2024-06-16T11:33:21.043267+01:00,true,2024-06-16T11:33:22.550443+01:00
01J0GVD8H71ZZCCPG5Q8V46CRF,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:42:15.591893+01:00,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:42:15.591893+01:00,01J0GVASJQRD6JX90W26HZTGJ2,2024-06-16T16:42:15.591893+01:00,01J0GVAVX4SHCWMWSHR0TDKB9F,2024-06-16T16:42:15.591893+01:00,01J0GVAW032DRN2KE8VTVYQF0F,2024-06-16T16:42:15.591893+01:00,true,2024-06-16T16:42:17.119085+01:00
01J0JKFDWYVQPHDZAPNDG1AGGP,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:02:06.878198+01:00,01J0JKF4TENJBC51WBN7DH2E5M,2024-06-17T09:02:06.878198+01:00,01J0JKFB83WSXXETQ1YZCMRNS0,2024-06-17T09:02:06.878198+01:00,01J0JKFD85X8JYF35D002XS8PJ,2024-06-17T09:02:06.878198+01:00,01J0JKFD8JT6FCN24QMQB892YV,2024-06-17T09:02:06.878198+01:00,true,2024-06-17T09:02:08.240122+01:00
01J0G9K7CFQ9TH0H2XASQJZ9JE,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:30:56.655034+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:30:56.655034+01:00,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:30:56.655034+01:00,01J0G9HKHVW5NE75112ZNQC0AA,2024-06-16T11:30:56.655034+01:00,01J0G9HKMXGK8XGRQD8A59341C,2024-06-16T11:30:56.655034+01:00,true,2024-06-16T11:30:58.101124+01:00
01J0G9SM9TK8QWEQVCBD41J91M,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:34:26.490597+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:34:26.490597+01:00,01J0G9PF9WABF1T9GK417HCRDY,2024-06-16T11:34:26.490597+01:00,01J0G9PHWZXVFCZDTXXKBPJ617,2024-06-16T11:34:26.490597+01:00,01J0G9PJ0RJZ81NCHHP32P0HX7,2024-06-16T11:34:26.490597+01:00,true,2024-06-16T11:34:28.136404+01:00
01J0GTVA88Y1D46SX2H8BY1N02,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:32:27.528643+01:00,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:32:27.528643+01:00,01J0GTAZ9EH76Q5X74HCYT7ATQ,2024-06-16T16:32:27.528643+01:00,01J0GTB159PJ5CR41CKFWMCC8A,2024-06-16T16:32:27.528643+01:00,01J0GTB18P20MECJXAE47FP6ZY,2024-06-16T16:32:27.528643+01:00,true,2024-06-16T16:32:28.885853+01:00
01J0GTVTH7FP7RKNP89MNR49HQ,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:32:44.199822+01:00,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:32:44.199822+01:00,01J0GTAZ9EH76Q5X74HCYT7ATQ,2024-06-16T16:32:44.199822+01:00,01J0GTB159PJ5CR41CKFWMCC8A,2024-06-16T16:32:44.199822+01:00,01J0GTB18R0B1F56G05P4615X5,2024-06-16T16:32:44.199822+01:00,true,2024-06-16T16:32:51.616354+01:00
