id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01J0G9HKHFP2QRX1WN1C6QA2MG,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:30:03.567281+01:00,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:30:03.567281+01:00,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:30:03.567281+01:00
01J0GJ3RGJK7WHE3PG0XAVBTZS,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T13:59:47.090988+01:00,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T13:59:47.090988+01:00,01J0GJ3ACZY1R3EVCG4Z8XTKZS,2024-06-16T13:59:47.090988+01:00
01J0GTB14VYAMD7T893M9F8ZW7,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:33.915712+01:00,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:23:33.915712+01:00,01J0GTAZ9EH76Q5X74HCYT7ATQ,2024-06-16T16:23:33.915712+01:00
01J0GVAVWSV8QA544NGR1W03SC,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:40:57.113143+01:00,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:40:57.113143+01:00,01J0GVASJQRD6JX90W26HZTGJ2,2024-06-16T16:40:57.113143+01:00
01J0JJS2H8FH15AQ5D2T9SQRG9,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:49:54.344768+01:00,01J0JJRRXTQZ2XNT1W96649X86,2024-06-17T08:49:54.344768+01:00,01J0JJS035KS4ZH5X2JA8EMMCH,2024-06-17T08:49:54.344768+01:00
01J0JKRF73YAV3T0Y9MG9GJB3W,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.139111+01:00,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.139111+01:00,01J0JKRCT0VGDWDAC9Q7D9GJDM,2024-06-17T09:07:03.139111+01:00
01J0JM7ECFA5E1AD30JY5ZRJ20,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:13.807209+01:00,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:13.807209+01:00,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:15:13.807209+01:00
01J0G9PHWNTMG86SQPSAYWWYNX,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:32:45.717908+01:00,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:32:45.717908+01:00,01J0G9PF9WABF1T9GK417HCRDY,2024-06-16T11:32:45.717908+01:00
01J0GT56M6CGG3N0ZFRNVPNZ7B,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:22.918617+01:00,01J0GT4XNJSMG4Q5H9YJ4Y2SGP,2024-06-16T16:20:22.918617+01:00,01J0GT5482ZQB87AEW2V5C4B2N,2024-06-16T16:20:22.918617+01:00
01J0GV7JPYBS7SMZ6Z75V9GAH6,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:09.406084+01:00,01J0GV7A7FZM4QB8ERJ9JXP9QY,2024-06-16T16:39:09.406084+01:00,01J0GV7GRZ6WWCXDDW2VCPBM65,2024-06-16T16:39:09.406084+01:00
01J0JKFD7S3PR37ZA3RMVX6H2V,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:02:06.201739+01:00,01J0JKF4TENJBC51WBN7DH2E5M,2024-06-17T09:02:06.201739+01:00,01J0JKFB83WSXXETQ1YZCMRNS0,2024-06-17T09:02:06.201739+01:00
