id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01J0GJ3RKXR730YXXFBWDFVK5K,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T13:59:47.197837+01:00,3000,2024-06-16T13:59:47.197837+01:00,false,2024-06-16T13:59:47.197837+01:00,,,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T13:59:47.197837+01:00,22,2024-06-16T13:59:47.197837+01:00,,,swipeProfile_23,2024-06-16T13:59:47.197837+01:00,01J0GJ3RGZWHSMEBAS9NEJV8ZH,2024-06-16T13:59:47.197837+01:00,false,2024-06-16T13:59:47.197837+01:00,,,,,01J0GJ3RJK3MXXB66X5VTW9XX9,2024-06-16T13:59:47.197837+01:00
01J0GTB19EW3YQKTA0T51WTBXN,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:34.062397+01:00,3000,2024-06-16T16:23:34.062397+01:00,false,2024-06-16T16:23:34.062397+01:00,,,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:23:34.062397+01:00,0,2024-06-16T16:23:34.062397+01:00,,,endSurveyRecommendationSystem,2024-06-16T16:23:34.062397+01:00,01J0GTB159PJ5CR41CKX4574BK,2024-06-16T16:23:34.062397+01:00,false,2024-06-16T16:23:34.062397+01:00,,,,,01J0GTB19AY9FHXXDQ4RG6CWXY,2024-06-16T16:23:34.062397+01:00
01J0GTB19EW3YQKTA0TXG3G9X1,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:34.062778+01:00,3000,2024-06-16T16:23:34.062778+01:00,false,2024-06-16T16:23:34.062778+01:00,,,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:23:34.062778+01:00,1,2024-06-16T16:23:34.062778+01:00,,,endSurveyDatingAppUsage,2024-06-16T16:23:34.062778+01:00,01J0GTB159PJ5CR41CKX4574BK,2024-06-16T16:23:34.062778+01:00,false,2024-06-16T16:23:34.062778+01:00,,,,,01J0GTB19CA955ZBAA03FRR7E6,2024-06-16T16:23:34.062778+01:00
01J0JKRFAVD9Z5F6DN6RPJKAFB,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.259529+01:00,3000,2024-06-17T09:07:03.259529+01:00,true,2024-06-17T09:14:06.155492+01:00,,,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.259529+01:00,35,2024-06-17T09:07:03.259529+01:00,true,2024-06-17T09:14:04.564552+01:00,swipeProfile_36,2024-06-17T09:07:03.259529+01:00,01J0JKRF7F23TPZY704HPD51F7,2024-06-17T09:07:03.259529+01:00,true,2024-06-17T09:14:04.557697+01:00,true,2024-06-17T09:14:04.572548+01:00,,,01J0JKRF9Q50KAZGHD2QQ5P9AR,2024-06-17T09:07:03.259529+01:00
01J0JM7EFN2RB22T7VCB1T2YXV,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:13.909994+01:00,3000,2024-06-17T09:15:13.909994+01:00,true,2024-06-17T09:15:50.345538+01:00,,,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:13.909994+01:00,4,2024-06-17T09:15:13.909994+01:00,true,2024-06-17T09:15:44.5974+01:00,swipeProfile_5,2024-06-17T09:15:13.909994+01:00,01J0JM7ECV8RX8VVEY2C8MQDXV,2024-06-17T09:15:13.909994+01:00,true,2024-06-17T09:15:44.590201+01:00,true,2024-06-17T09:15:44.603781+01:00,,,01J0JM7EDQH1AVV9GQF9580ZWM,2024-06-17T09:15:13.909994+01:00
01J0G9PJ0MDJK7H6R3YANVP2JA,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:32:45.844412+01:00,3000,2024-06-16T11:32:45.844412+01:00,true,2024-06-16T11:33:31.019094+01:00,,,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:32:45.844412+01:00,11,2024-06-16T11:32:45.844412+01:00,true,2024-06-16T11:33:29.436213+01:00,swipeProfile_12,2024-06-16T11:32:45.844412+01:00,01J0G9PHWZXVFCZDTXXKBPJ617,2024-06-16T11:32:45.844412+01:00,true,2024-06-16T11:33:29.429141+01:00,true,2024-06-16T11:33:29.442627+01:00,,,01J0G9PHYSPK54ZAQZPD5MTS5A,2024-06-16T11:32:45.844412+01:00
01J0G9PJ0PEZSH067GX8N9R2MD,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:32:45.846789+01:00,3000,2024-06-16T11:32:45.846789+01:00,true,2024-06-16T11:34:04.65518+01:00,,,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:32:45.846789+01:00,26,2024-06-16T11:32:45.846789+01:00,true,2024-06-16T11:33:57.604016+01:00,swipeProfile_27,2024-06-16T11:32:45.846789+01:00,01J0G9PHWZXVFCZDTXXKBPJ617,2024-06-16T11:32:45.846789+01:00,true,2024-06-16T11:33:57.597469+01:00,true,2024-06-16T11:33:57.610603+01:00,,,01J0G9PHZE9Y7VEK7MTPPD9P7P,2024-06-16T11:32:45.846789+01:00
01J0G9PJ19SQJFPHZ36KZD733J,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:32:45.865734+01:00,3000,2024-06-16T11:32:45.865734+01:00,true,2024-06-16T11:35:06.043829+01:00,,,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:32:45.865734+01:00,0,2024-06-16T11:32:45.865734+01:00,true,2024-06-16T11:34:57.269866+01:00,endSurveyRecommendationSystem,2024-06-16T11:32:45.865734+01:00,01J0G9PHX14FN9QJFQTT1HYRA8,2024-06-16T11:32:45.865734+01:00,true,2024-06-16T11:34:57.263314+01:00,true,2024-06-16T11:34:57.276999+01:00,,,01J0G9PJ16MW2WM6YS56D7NFAD,2024-06-16T11:32:45.865734+01:00
01J0GV7JTCWY8EEVTR8EZYFR7J,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:09.516816+01:00,3000,2024-06-16T16:39:09.516816+01:00,false,2024-06-16T16:39:09.516816+01:00,,,01J0GV7A7FZM4QB8ERJ9JXP9QY,2024-06-16T16:39:09.516816+01:00,17,2024-06-16T16:39:09.516816+01:00,,,swipeProfile_18,2024-06-16T16:39:09.516816+01:00,01J0GV7JQB7F2ANFTXQDZSCTRW,2024-06-16T16:39:09.516816+01:00,false,2024-06-16T16:39:09.516816+01:00,,,,,01J0GV7JRSF2JG3S4BXYX9SKZX,2024-06-16T16:39:09.516816+01:00
01J0GVAVXJKFT6GVEGBHY1D3RH,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:40:57.138141+01:00,3000,2024-06-16T16:40:57.138141+01:00,true,2024-06-16T16:41:18.262162+01:00,,,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:40:57.138141+01:00,2,2024-06-16T16:40:57.138141+01:00,true,2024-06-16T16:41:06.663602+01:00,chooseCharacter,2024-06-16T16:40:57.138141+01:00,01J0GVAVX32NMHAHVA451RM88S,2024-06-16T16:40:57.138141+01:00,true,2024-06-16T16:41:06.655681+01:00,true,2024-06-16T16:41:06.673409+01:00,,,01J0GVAVXEEFN6JRD558F1DPTF,2024-06-16T16:40:57.138141+01:00
